"","A0CF","A1D2","C073","5440","5EBF3C","61B2","1F36","4D10","CE1D","1A0D","94D3","775E","5DED","4FCA","4F91","4D01","5971","0832","A093","A4F8","900E","9900"
"2013-08-30_1",0,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0
"2013-08-30_16",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
"2013-08-31_1",0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,1,0,0
"2013-08-31_16",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"2013-09-01_1",1,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1,0,0
"2013-09-01_16",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
"2013-09-02_1",0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
"2013-09-02_16",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"2013-09-03_1",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
"2013-09-03_16",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
"2013-09-04_1",1,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,1,1,1,0,0
"2013-09-04_16",0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
"2013-09-05_1",1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,1,1
"2013-09-06_1",0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0
"2013-09-07_1",0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
"2013-09-07_17",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
"2013-09-08_17",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"2013-09-13_17",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
"2013-09-15_17",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
"2013-09-16_17",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
"2013-09-21_17",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,1
"2013-09-22_17",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
