"","0D1B","2C18","377E","24E9","4ECA","39ED","B75C","AC35","BF04","4FE4","4C7B","41C1","22B0","C950","E063","076C","879F","EC1A","663E","256A","D14D","7C6F","0758","F44A","A539","2F8D","44BD","DCCF","9FB7","F377","ACF4","DE72","D629","C5F2","29B2"
"D14D",0.6,0.307692307692308,0.361111111111111,0.371428571428571,0.5,0.625,0.351351351351351,0.441176470588235,0.378378378378378,0.317073170731707,0.5,0.257142857142857,0.277777777777778,0.333333333333333,0.282051282051282,0.333333333333333,0.277777777777778,0.578947368421053,0.447368421052632,0.0666666666666667,0,0.30952380952381,0.641025641025641,0.380952380952381,0.473684210526316,0.536585365853659,0.487179487179487,0.702702702702703,0.486486486486487,0.605263157894737,0.585365853658537,0.166666666666667,0.447368421052632,0.538461538461538,0.324324324324324
"7C6F",0.447368421052632,0.612903225806452,0.454545454545455,0.27027027027027,0.31578947368421,0.24390243902439,0.361111111111111,0.371428571428571,0.31578947368421,0.65625,0.472222222222222,0.228571428571429,0.5,0.342857142857143,0.289473684210526,0.382352941176471,0.40625,0.340909090909091,0.317073170731707,0.0333333333333333,0.30952380952381,0,0.369565217391304,0.425,0.25,0.441860465116279,0.357142857142857,0.319148936170213,0.35,0.276595744680851,0.361702127659574,0.108108108108108,0.255813953488372,0.311111111111111,0.297297297297297
"0758",0.523809523809524,0.372093023255814,0.390243902439024,0.4,0.552631578947368,0.578947368421053,0.380952380952381,0.461538461538462,0.404761904761905,0.409090909090909,0.476190476190476,0.3,0.255813953488372,0.365853658536585,0.318181818181818,0.333333333333333,0.255813953488372,0.7,0.615384615384615,0.111111111111111,0.641025641025641,0.369565217391304,0,0.5,0.523809523809524,0.69047619047619,0.571428571428571,0.775,0.465116279069767,0.642857142857143,0.780487804878049,0.25,0.465116279069767,0.658536585365854,0.5
"F44A",0.487179487179487,0.358974358974359,0.416666666666667,0.25,0.325,0.35,0.238095238095238,0.457142857142857,0.358974358974359,0.4,0.333333333333333,0.243243243243243,0.371428571428571,0.351351351351351,0.333333333333333,0.351351351351351,0.297297297297297,0.55,0.295454545454545,0.0625,0.380952380952381,0.425,0.5,0,0.487179487179487,0.511627906976744,0.538461538461538,0.477272727272727,0.461538461538462,0.5,0.558139534883721,0.189189189189189,0.540540540540541,0.476190476190476,0.275
"A539",0.473684210526316,0.307692307692308,0.361111111111111,0.333333333333333,0.342105263157895,0.575757575757576,0.428571428571429,0.289473684210526,0.378378378378378,0.285714285714286,0.45945945945946,0.375,0.277777777777778,0.371428571428571,0.428571428571429,0.454545454545455,0.314285714285714,0.666666666666667,0.571428571428571,0.103448275862069,0.473684210526316,0.25,0.523809523809524,0.487179487179487,0,0.615384615384615,0.705882352941177,0.5,0.666666666666667,0.794117647058823,0.625,0.272727272727273,0.571428571428571,0.463414634146341,0.256410256410256
"2F8D",0.575,0.380952380952381,0.435897435897436,0.41025641025641,0.487179487179487,0.552631578947368,0.425,0.4,0.414634146341463,0.418604651162791,0.48780487804878,0.307692307692308,0.325,0.447368421052632,0.357142857142857,0.486486486486487,0.325,0.763157894736842,0.51219512195122,0.114285714285714,0.536585365853659,0.441860465116279,0.69047619047619,0.511627906976744,0.615384615384615,0,0.547619047619048,0.627906976744186,0.55,0.7,0.6,0.225,0.409090909090909,0.595238095238095,0.365853658536585
"44BD",0.487179487179487,0.394736842105263,0.457142857142857,0.388888888888889,0.394736842105263,0.542857142857143,0.405405405405405,0.416666666666667,0.358974358974359,0.365853658536585,0.435897435897436,0.4375,0.333333333333333,0.351351351351351,0.368421052631579,0.351351351351351,0.333333333333333,0.55,0.425,0.133333333333333,0.487179487179487,0.357142857142857,0.571428571428571,0.538461538461538,0.705882352941177,0.547619047619048,0,0.547619047619048,0.78125,0.615384615384615,0.634146341463415,0.257142857142857,0.628571428571429,0.51219512195122,0.378378378378378
"DCCF",0.615384615384615,0.318181818181818,0.435897435897436,0.341463414634146,0.611111111111111,0.594594594594595,0.390243902439024,0.473684210526316,0.414634146341463,0.355555555555556,0.418604651162791,0.307692307692308,0.292682926829268,0.41025641025641,0.325581395348837,0.30952380952381,0.292682926829268,0.675,0.476190476190476,0.0833333333333333,0.702702702702703,0.319148936170213,0.775,0.477272727272727,0.5,0.627906976744186,0.547619047619048,0,0.55,0.581395348837209,0.636363636363636,0.195121951219512,0.55,0.717948717948718,0.473684210526316
"9FB7",0.527777777777778,0.388888888888889,0.371428571428571,0.342857142857143,0.388888888888889,0.5,0.4,0.371428571428571,0.31578947368421,0.358974358974359,0.432432432432432,0.482758620689655,0.363636363636364,0.382352941176471,0.441176470588235,0.382352941176471,0.40625,0.552631578947368,0.384615384615385,0.148148148148148,0.486486486486487,0.35,0.465116279069767,0.461538461538462,0.666666666666667,0.55,0.78125,0.55,0,0.621621621621622,0.560975609756098,0.28125,0.542857142857143,0.475,0.333333333333333
"F377",0.48780487804878,0.333333333333333,0.384615384615385,0.432432432432432,0.4,0.583333333333333,0.447368421052632,0.35,0.4,0.372093023255814,0.512820512820513,0.361111111111111,0.24390243902439,0.394736842105263,0.41025641025641,0.432432432432432,0.275,0.710526315789474,0.578947368421053,0.121212121212121,0.605263157894737,0.276595744680851,0.642857142857143,0.5,0.794117647058823,0.7,0.615384615384615,0.581395348837209,0.621621621621622,0,0.707317073170732,0.27027027027027,0.5,0.511627906976744,0.35
"ACF4",0.444444444444444,0.395348837209302,0.348837209302326,0.325581395348837,0.428571428571429,0.525,0.404761904761905,0.380952380952381,0.363636363636364,0.369565217391304,0.536585365853659,0.325,0.25,0.357142857142857,0.340909090909091,0.325581395348837,0.25,0.682926829268293,0.6,0.108108108108108,0.585365853658537,0.361702127659574,0.780487804878049,0.558139534883721,0.625,0.6,0.634146341463415,0.636363636363636,0.560975609756098,0.707317073170732,0,0.307692307692308,0.523809523809524,0.604651162790698,0.380952380952381
"DE72",0.166666666666667,0.15625,0.206896551724138,0.259259259259259,0.233333333333333,0.266666666666667,0.384615384615385,0.09375,0.275862068965517,0.142857142857143,0.290322580645161,0.363636363636364,0.103448275862069,0.259259259259259,0.384615384615385,0.214285714285714,0.142857142857143,0.277777777777778,0.32258064516129,0.285714285714286,0.166666666666667,0.108108108108108,0.25,0.189189189189189,0.272727272727273,0.225,0.257142857142857,0.195121951219512,0.28125,0.27027027027027,0.307692307692308,0,0.32258064516129,0.277777777777778,0.129032258064516
"D629",0.447368421052632,0.282051282051282,0.411764705882353,0.342857142857143,0.388888888888889,0.416666666666667,0.361111111111111,0.333333333333333,0.388888888888889,0.325,0.394736842105263,0.482758620689655,0.285714285714286,0.46875,0.324324324324324,0.27027027027027,0.25,0.512820512820513,0.384615384615385,0.107142857142857,0.447368421052632,0.255813953488372,0.465116279069767,0.540540540540541,0.571428571428571,0.409090909090909,0.628571428571429,0.55,0.542857142857143,0.5,0.523809523809524,0.32258064516129,0,0.552631578947368,0.297297297297297
"C5F2",0.538461538461538,0.30952380952381,0.325,0.333333333333333,0.571428571428571,0.513513513513513,0.384615384615385,0.394736842105263,0.41025641025641,0.414634146341463,0.414634146341463,0.297297297297297,0.282051282051282,0.529411764705882,0.35,0.333333333333333,0.282051282051282,0.641025641025641,0.439024390243902,0.0909090909090909,0.538461538461538,0.311111111111111,0.658536585365854,0.476190476190476,0.463414634146341,0.595238095238095,0.51219512195122,0.717948717948718,0.475,0.511627906976744,0.604651162790698,0.277777777777778,0.552631578947368,0,0.394736842105263
"29B2",0.289473684210526,0.333333333333333,0.3125,0.366666666666667,0.517241379310345,0.323529411764706,0.228571428571429,0.3125,0.333333333333333,0.46875,0.236842105263158,0.275862068965517,0.344827586206897,0.28125,0.228571428571429,0.205882352941176,0.258064516129032,0.325,0.297297297297297,0.0869565217391304,0.324324324324324,0.297297297297297,0.5,0.275,0.256410256410256,0.365853658536585,0.378378378378378,0.473684210526316,0.333333333333333,0.35,0.380952380952381,0.129032258064516,0.297297297297297,0.394736842105263,0
