"","1731","377E","24E9","39ED","AC35","BF04","4C7B","41C1","29B2","076C","EC1A","663E","D14D","44BD","DCCF","C5F2","15BF","80F1","5939","A5EF","B8A2","0387","A312","82C7","D3E1","C809","3CC1","4FE4","E063","879F","7C6F","F44A","A539","AA3C","CB2B","2D31","3C0F","4ECA","22B0","5A31","AC37","9A5D","418B","0255","8787","A24D","F377","D629","D4DC","D9EF"
"EC1A",0.5,0.478260869565217,0.0476190476190476,0.0952380952380952,0.15,0.1,0.304347826086957,0.0476190476190476,0.217391304347826,0.380952380952381,0,0.0869565217391304,0.130434782608696,0.0476190476190476,0.521739130434783,0.416666666666667,0.1,0.217391304347826,0.476190476190476,0.285714285714286,0.434782608695652,0.272727272727273,0.0952380952380952,0.454545454545455,0.523809523809524,0.5,0.478260869565217,0.0434782608695652,0.0476190476190476,0.230769230769231,0.285714285714286,0.0952380952380952,0.12,0.142857142857143,0.15,0.0454545454545455,0.208333333333333,0.391304347826087,0.130434782608696,0.130434782608696,0.269230769230769,0.318181818181818,0.333333333333333,0.260869565217391,0.2,0.318181818181818,0.181818181818182,0.304347826086957,0.476190476190476,0.35
"663E",0.2,0.1875,0.166666666666667,0.6,0.142857142857143,0.4,0.363636363636364,0.4,0.3,0.272727272727273,0.0869565217391304,0,0.222222222222222,0.166666666666667,0.176470588235294,0.266666666666667,0.4,0.181818181818182,0.142857142857143,0.2,0.2,0.3,0.6,0.214285714285714,0.133333333333333,0.125,0.1875,0.125,0.4,0.307692307692308,0.2,0,0.3,0,0.142857142857143,0.142857142857143,0.166666666666667,0.133333333333333,0.222222222222222,0.1,0.125,0.0769230769230769,0.133333333333333,0,0.25,0.0769230769230769,0.1,0.153846153846154,0.0666666666666667,0
"D14D",0.117647058823529,0.176470588235294,0.333333333333333,0.125,0.125,0.142857142857143,0.230769230769231,0.142857142857143,0.272727272727273,0.25,0.130434782608696,0.222222222222222,0,0.142857142857143,0.166666666666667,0.333333333333333,0.142857142857143,0.4,0.133333333333333,0.3,0.1875,0.0769230769230769,0.285714285714286,0.0588235294117647,0.0588235294117647,0.1875,0.111111111111111,0.25,0.142857142857143,0.0588235294117647,0,0.125,0.166666666666667,0.111111111111111,0.125,0.125,0.153846153846154,0.125,0.0909090909090909,0,0.1875,0.153846153846154,0.0588235294117647,0.0714285714285714,0.142857142857143,0.153846153846154,0.0909090909090909,0.230769230769231,0.133333333333333,0
"44BD",0.0714285714285714,0.142857142857143,0.333333333333333,0.25,0.25,0.333333333333333,0.0909090909090909,0.333333333333333,0.111111111111111,0.1,0.0476190476190476,0.166666666666667,0.142857142857143,0,0.0625,0.0666666666666667,0.333333333333333,0.111111111111111,0.0833333333333333,0.125,0.153846153846154,0.111111111111111,0.25,0.0769230769230769,0.0769230769230769,0.0714285714285714,0.0666666666666667,0.2,0,0.0769230769230769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0909090909090909,0,0
"DCCF",0.333333333333333,0.380952380952381,0.0625,0.125,0.0588235294117647,0.133333333333333,0.25,0.0625,0.277777777777778,0.263157894736842,0.521739130434783,0.176470588235294,0.166666666666667,0.0625,0,0.526315789473684,0.133333333333333,0.352941176470588,0.444444444444444,0.294117647058824,0.272727272727273,0.352941176470588,0.125,0.35,0.285714285714286,0.473684210526316,0.45,0,0.0625,0.227272727272727,0.222222222222222,0.125,0.210526315789474,0.117647058823529,0.2,0.0588235294117647,0.2,0.5,0.05,0.166666666666667,0.333333333333333,0.333333333333333,0.285714285714286,0.411764705882353,0.388888888888889,0.5,0.235294117647059,0.388888888888889,0.368421052631579,0.222222222222222
"C5F2",0.35,0.4,0.0666666666666667,0.214285714285714,0.0625,0.142857142857143,0.263157894736842,0.142857142857143,0.157894736842105,0.4375,0.416666666666667,0.266666666666667,0.333333333333333,0.0666666666666667,0.526315789473684,0,0.142857142857143,0.375,0.388888888888889,0.3125,0.285714285714286,0.294117647058824,0.214285714285714,0.368421052631579,0.238095238095238,0.5,0.473684210526316,0.0588235294117647,0.142857142857143,0.181818181818182,0.3125,0.0625,0.222222222222222,0.0588235294117647,0.214285714285714,0.133333333333333,0.15,0.444444444444444,0.176470588235294,0,0.227272727272727,0.352941176470588,0.181818181818182,0.210526315789474,0.333333333333333,0.210526315789474,0.176470588235294,0.411764705882353,0.388888888888889,0.235294117647059
"15BF",0.153846153846154,0.142857142857143,0.333333333333333,0.666666666666667,0.25,1,0.2,0.333333333333333,0.111111111111111,0.222222222222222,0.1,0.4,0.142857142857143,0.333333333333333,0.133333333333333,0.142857142857143,0,0.25,0.181818181818182,0.125,0.153846153846154,0.25,0.666666666666667,0.166666666666667,0.166666666666667,0.0714285714285714,0.142857142857143,0,0.333333333333333,0.0769230769230769,0.125,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"80F1",0.166666666666667,0.157894736842105,0.111111111111111,0.222222222222222,0.1,0.25,0.2,0.111111111111111,0.142857142857143,0.307692307692308,0.217391304347826,0.181818181818182,0.4,0.111111111111111,0.352941176470588,0.375,0.25,0,0.1875,0.153846153846154,0.166666666666667,0.142857142857143,0.222222222222222,0.111111111111111,0.111111111111111,0.166666666666667,0.222222222222222,0,0.111111111111111,0.111111111111111,0.0714285714285714,0.1,0,0,0.222222222222222,0,0,0.0526315789473684,0,0.0769230769230769,0.235294117647059,0.214285714285714,0.0526315789473684,0.214285714285714,0.125,0.133333333333333,0.0769230769230769,0.125,0.117647058823529,0
"5939",0.714285714285714,0.470588235294118,0.0833333333333333,0.166666666666667,0.0769230769230769,0.181818181818182,0.4,0.0833333333333333,0.1875,0.333333333333333,0.476190476190476,0.142857142857143,0.133333333333333,0.0833333333333333,0.444444444444444,0.388888888888889,0.181818181818182,0.1875,0,0.285714285714286,0.6,0.583333333333333,0.166666666666667,0.642857142857143,0.533333333333333,0.333333333333333,0.666666666666667,0,0.0833333333333333,0.0952380952380952,0.285714285714286,0.0769230769230769,0.1875,0.153846153846154,0.166666666666667,0.0769230769230769,0.176470588235294,0.352941176470588,0.0625,0,0.142857142857143,0.333333333333333,0.352941176470588,0.333333333333333,0.166666666666667,0.428571428571429,0.307692307692308,0.4,0.571428571428571,0.384615384615385
"A5EF",0.176470588235294,0.5,0.125,0.111111111111111,0.25,0.125,0.416666666666667,0.125,0.153846153846154,0.142857142857143,0.285714285714286,0.2,0.3,0.125,0.294117647058824,0.3125,0.125,0.153846153846154,0.285714285714286,0,0.333333333333333,0.153846153846154,0.25,0.1875,0.357142857142857,0.25,0.235294117647059,0.222222222222222,0.125,0.0555555555555556,0.166666666666667,0,0.25,0.375,0.25,0,0.0666666666666667,0.357142857142857,0.0833333333333333,0,0.0526315789473684,0.142857142857143,0.117647058823529,0.230769230769231,0.307692307692308,0.142857142857143,0.3,0.307692307692308,0.2,0
"B8A2",0.625,0.588235294117647,0.0714285714285714,0.142857142857143,0.142857142857143,0.153846153846154,0.533333333333333,0.0714285714285714,0.166666666666667,0.222222222222222,0.434782608695652,0.2,0.1875,0.153846153846154,0.272727272727273,0.285714285714286,0.153846153846154,0.166666666666667,0.6,0.333333333333333,0,0.4,0.230769230769231,0.470588235294118,0.5625,0.238095238095238,0.421052631578947,0.214285714285714,0.153846153846154,0.19047619047619,0.111111111111111,0,0.105263157894737,0.133333333333333,0.142857142857143,0,0.222222222222222,0.25,0.0555555555555556,0,0.181818181818182,0.222222222222222,0.31578947368421,0.222222222222222,0.15,0.294117647058824,0.1875,0.352941176470588,0.411764705882353,0.333333333333333
"0387",0.615384615384615,0.294117647058824,0.111111111111111,0.375,0.1,0.25,0.2,0.25,0.230769230769231,0.307692307692308,0.272727272727273,0.3,0.0769230769230769,0.111111111111111,0.352941176470588,0.294117647058824,0.25,0.142857142857143,0.583333333333333,0.153846153846154,0.4,0,0.222222222222222,0.666666666666667,0.333333333333333,0.3125,0.466666666666667,0,0.111111111111111,0.176470588235294,0.25,0.1,0.230769230769231,0.0909090909090909,0.1,0.222222222222222,0.133333333333333,0.333333333333333,0.166666666666667,0,0.105263157894737,0.307692307692308,0.333333333333333,0.133333333333333,0.125,0.307692307692308,0.272727272727273,0.384615384615385,0.357142857142857,0.25
"A312",0.142857142857143,0.214285714285714,0.25,0.5,0.2,0.666666666666667,0.3,0.25,0.222222222222222,0.2,0.0952380952380952,0.6,0.285714285714286,0.25,0.125,0.214285714285714,0.666666666666667,0.222222222222222,0.166666666666667,0.25,0.230769230769231,0.222222222222222,0,0.153846153846154,0.153846153846154,0.0666666666666667,0.133333333333333,0.166666666666667,0.666666666666667,0.153846153846154,0.111111111111111,0,0.1,0,0.2,0,0.0909090909090909,0.0714285714285714,0.125,0,0.0666666666666667,0,0.0714285714285714,0,0.0833333333333333,0,0,0.0833333333333333,0,0
