"","24E9","39ED","AC35","BF04","4FE4","41C1","22B0","E063","879F","EC1A","D14D","7C6F","F44A","A539","44BD","DCCF","F377","D629","C5F2","15BF","AA3C","80F1","CB2B","5939","0255","A5EF","2D31","C809","D4DC","418B","8787","AC37","F429","A42D","B3E8","0145","0734","34C9","494F","8106","8666","8BE4","9A80","A16E","A816","4ECA","4C7B","29B2","076C","663E","B8A2","A24D","0387","3CC1","D849"
"D14D",0.323529411764706,0.357142857142857,0.2,0.323529411764706,0.25,0.225806451612903,0.297297297297297,0.233333333333333,0.222222222222222,0.194444444444444,0,0.04,0.216216216216216,0.34375,0.235294117647059,0.189189189189189,0.303030303030303,0.242424242424242,0.242424242424242,0.242424242424242,0.264705882352941,0.222222222222222,0.277777777777778,0.176470588235294,0.114285714285714,0.382352941176471,0.0588235294117647,0.157894736842105,0.28125,0.0952380952380952,0.382352941176471,0.162162162162162,0.387096774193548,0.3125,0.303030303030303,0.162162162162162,0.25,0.272727272727273,0.228571428571429,0.285714285714286,0.3,0.264705882352941,0.181818181818182,0.230769230769231,0.162162162162162,0.419354838709677,0.129032258064516,0.17948717948718,0.243243243243243,0.15625,0.142857142857143,0.21875,0.166666666666667,0.1875,0.214285714285714
"7C6F",0.0454545454545455,0,0,0.0454545454545455,0,0,0,0,0.0476190476190476,0,0.04,0,0.0454545454545455,0,0,0,0,0.0555555555555556,0,0,0.05,0,0.0434782608695652,0,0,0,0,0,0,0,0,0,0.05,0.0526315789473684,0,0,0,0,0,0.0454545454545455,0.0625,0,0.0625,0,0,0,0,0,0,0,0,0.0625,0.0833333333333333,0.0666666666666667,0
"F44A",0.272727272727273,0.25,0.181818181818182,0.272727272727273,0.382352941176471,0.166666666666667,0.153846153846154,0.307692307692308,0.242424242424242,0.333333333333333,0.216216216216216,0.0454545454545455,0,0.212121212121212,0.114285714285714,0.171428571428571,0.333333333333333,0.310344827586207,0.310344827586207,0.310344827586207,0.25,0.171428571428571,0.303030303030303,0.121212121212121,0.285714285714286,0.257142857142857,0.178571428571429,0.242424242424242,0.151515151515152,0.34375,0.128205128205128,0.25,0.290322580645161,0.444444444444444,0.379310344827586,0.379310344827586,0.272727272727273,0.258064516129032,0.212121212121212,0.3125,0.241379310344828,0.333333333333333,0.384615384615385,0.16,0.290322580645161,0.28125,0.032258064516129,0.433333333333333,0.34375,0.172413793103448,0.275862068965517,0.241379310344828,0.185185185185185,0.296296296296296,0.148148148148148
"A539",0.6,0.434782608695652,0.193548387096774,0.333333333333333,0.363636363636364,0.434782608695652,0.303030303030303,0.391304347826087,0.147058823529412,0.52,0.34375,0,0.212121212121212,0,0.423076923076923,0.344827586206897,0.310344827586207,0.285714285714286,0.44,0.384615384615385,0.310344827586207,0.0833333333333333,0.108108108108108,0.166666666666667,0.133333333333333,0.5,0.24,0.258064516129032,0.2,0.171428571428571,0.3125,0.1875,0.310344827586207,0.275862068965517,0.407407407407407,0.310344827586207,0.379310344827586,0.423076923076923,0.310344827586207,0.379310344827586,0.416666666666667,0.461538461538462,0.259259259259259,0.35,0.310344827586207,0.56,0.0714285714285714,0.28125,0.32258064516129,0.142857142857143,0.458333333333333,0.0967741935483871,0.111111111111111,0.222222222222222,0.380952380952381
"44BD",0.392857142857143,0.333333333333333,0.384615384615385,0.3,0.294117647058824,0.28,0.4,0.291666666666667,0.310344827586207,0.423076923076923,0.235294117647059,0,0.114285714285714,0.423076923076923,0,0.461538461538462,0.275862068965517,0.25,0.4,0.4,0.275862068965517,0.151515151515152,0.176470588235294,0.307692307692308,0.222222222222222,0.366666666666667,0.25,0.52,0.25,0.333333333333333,0.413793103448276,0.321428571428571,0.275862068965517,0.285714285714286,0.37037037037037,0.233333333333333,0.3,0.285714285714286,0.275862068965517,0.3,0.375,0.423076923076923,0.178571428571429,0.3,0.37037037037037,0.310344827586207,0.208333333333333,0.176470588235294,0.212121212121212,0.24,0.259259259259259,0.32,0.380952380952381,0.230769230769231,0.217391304347826
"DCCF",0.366666666666667,0.307692307692308,0.407407407407407,0.366666666666667,0.483870967741935,0.36,0.294117647058824,0.434782608695652,0.428571428571429,0.392857142857143,0.189189189189189,0,0.171428571428571,0.344827586206897,0.461538461538462,0,0.344827586206897,0.37037037037037,0.48,0.423076923076923,0.392857142857143,0.212121212121212,0.166666666666667,0.384615384615385,0.296296296296296,0.433333333333333,0.230769230769231,0.428571428571429,0.321428571428571,0.272727272727273,0.433333333333333,0.392857142857143,0.344827586206897,0.310344827586207,0.392857142857143,0.3,0.32258064516129,0.266666666666667,0.3,0.32258064516129,0.4,0.392857142857143,0.206896551724138,0.272727272727273,0.444444444444444,0.333333333333333,0.192307692307692,0.3125,0.235294117647059,0.32,0.285714285714286,0.206896551724138,0.24,0.36,0.153846153846154
"F377",0.25,0.32,0.37037037037037,0.25,0.40625,0.375,0.194444444444444,0.333333333333333,0.258064516129032,0.357142857142857,0.303030303030303,0,0.333333333333333,0.310344827586207,0.275862068965517,0.344827586206897,0,0.384615384615385,0.384615384615385,0.285714285714286,0.310344827586207,0.147058823529412,0.108108108108108,0.458333333333333,0.214285714285714,0.5,0.0689655172413793,0.3,0.241379310344828,0.205882352941176,0.235294117647059,0.1875,0.357142857142857,0.321428571428571,0.310344827586207,0.266666666666667,0.333333333333333,0.48,0.225806451612903,0.290322580645161,0.259259259259259,0.357142857142857,0.36,0.227272727272727,0.357142857142857,0.444444444444444,0.153846153846154,0.464285714285714,0.28125,0.333333333333333,0.25,0.133333333333333,0.153846153846154,0.269230769230769,0.260869565217391
"D629",0.357142857142857,0.148148148148148,0.346153846153846,0.357142857142857,0.34375,0.347826086956522,0.171428571428571,0.428571428571429,0.37037037037037,0.384615384615385,0.242424242424242,0.0555555555555556,0.310344827586207,0.285714285714286,0.25,0.37037037037037,0.384615384615385,0,0.619047619047619,0.36,0.565217391304348,0.121212121212121,0.114285714285714,0.269230769230769,0.230769230769231,0.379310344827586,0.0740740740740741,0.37037037037037,0.259259259259259,0.114285714285714,0.142857142857143,0.2,0.384615384615385,0.590909090909091,0.44,0.565217391304348,0.310344827586207,0.346153846153846,0.333333333333333,0.357142857142857,0.391304347826087,0.5,0.391304347826087,0.31578947368421,0.44,0.37037037037037,0.0769230769230769,0.5,0.147058823529412,0.25,0.32,0.142857142857143,0.166666666666667,0.409090909090909,0.227272727272727
"C5F2",0.461538461538462,0.347826086956522,0.346153846153846,0.357142857142857,0.482758620689655,0.631578947368421,0.28125,0.666666666666667,0.275862068965517,0.565217391304348,0.242424242424242,0,0.310344827586207,0.44,0.4,0.48,0.384615384615385,0.619047619047619,0,0.478260869565217,0.5,0.15625,0.114285714285714,0.222222222222222,0.230769230769231,0.481481481481481,0.115384615384615,0.48,0.36,0.21875,0.25,0.241379310344828,0.384615384615385,0.666666666666667,0.714285714285714,0.636363636363636,0.407407407407407,0.521739130434783,0.384615384615385,0.357142857142857,0.523809523809524,0.8,0.454545454545455,0.470588235294118,0.565217391304348,0.541666666666667,0.0769230769230769,0.444444444444444,0.258064516129032,0.304347826086957,0.375,0.185185185185185,0.272727272727273,0.476190476190476,0.35
"15BF",0.357142857142857,0.347826086956522,0.4,0.357142857142857,0.387096774193548,0.347826086956522,0.32258064516129,0.5,0.423076923076923,0.44,0.242424242424242,0,0.310344827586207,0.384615384615385,0.4,0.423076923076923,0.285714285714286,0.36,0.478260869565217,0,0.44,0.321428571428571,0.258064516129032,0.222222222222222,0.454545454545455,0.538461538461538,0.380952380952381,0.275862068965517,0.36,0.21875,0.290322580645161,0.5,0.333333333333333,0.4,0.636363636363636,0.384615384615385,0.310344827586207,0.296296296296296,0.565217391304348,0.461538461538462,0.523809523809524,0.565217391304348,0.230769230769231,0.470588235294118,0.44,0.321428571428571,0.12,0.344827586206897,0.3,0.25,0.571428571428571,0.142857142857143,0.217391304347826,0.24,0.285714285714286
