"","22B0","8787","8C52","4FE4","076C","879F","418B","494F","8B80","F44A","44BD","2D31","0734","34C9","9A80","922C","4ECA","39ED","AC35","BF04","4C7B","41C1","E063","DCCF","C5F2","AA3C","80F1","CB2B","5939","0387","C809","3CC1","AC37","F429","A42D","0145","A816","9907","A24D","D4DC","8BE4","29B2","F377","D629","B8A2","663E","A539","A5EF","054D","B0C8","FB4B","0A62","1270","0F3D","0636"
"4C7B",0.0476190476190476,0,0.0357142857142857,0,0.125,0.0476190476190476,0.0625,0,0.0476190476190476,0.0666666666666667,0.0588235294117647,0.0625,0.105263157894737,0,0.166666666666667,0.0526315789473684,0.0666666666666667,0.0625,0.0555555555555556,0.0714285714285714,0,0.285714285714286,0.222222222222222,0.0714285714285714,0.0666666666666667,0.0526315789473684,0.0769230769230769,0.181818181818182,0.272727272727273,0.214285714285714,0.0625,0.0714285714285714,0.105263157894737,0.125,0.307692307692308,0.0714285714285714,0.0769230769230769,0.333333333333333,0.166666666666667,0.111111111111111,0,0,0.0769230769230769,0,0.285714285714286,0.166666666666667,0,0,0,0.1,0,0.0769230769230769,0.142857142857143,0,0
"41C1",0.0555555555555556,0,0.04,0,0.0909090909090909,0,0,0,0.0555555555555556,0.0833333333333333,0.0714285714285714,0,0,0,0.0588235294117647,0.133333333333333,0.0833333333333333,0.0769230769230769,0.0666666666666667,0.0909090909090909,0.285714285714286,0,0.6,0.0909090909090909,0.0833333333333333,0.133333333333333,0.1,0.111111111111111,0.222222222222222,0.0769230769230769,0.0769230769230769,0.0909090909090909,0.0588235294117647,0.0714285714285714,0.166666666666667,0.0909090909090909,0.1,0.3,0.222222222222222,0,0.0909090909090909,0,0.222222222222222,0,0,0,0,0,0,0,0,0,0,0,0
"E063",0.105263157894737,0.0909090909090909,0.0769230769230769,0.0625,0.130434782608696,0,0,0.0526315789473684,0.105263157894737,0.0714285714285714,0.0625,0.0666666666666667,0,0.0526315789473684,0.0526315789473684,0.1875,0.0714285714285714,0.142857142857143,0.0588235294117647,0.0769230769230769,0.222222222222222,0.6,0,0.0769230769230769,0.0714285714285714,0.1875,0.0833333333333333,0.0909090909090909,0.3,0.142857142857143,0.0666666666666667,0.166666666666667,0.0526315789473684,0.133333333333333,0.142857142857143,0.0769230769230769,0.181818181818182,0.363636363636364,0.3,0,0.166666666666667,0,0.181818181818182,0,0,0,0,0,0,0,0,0,0,0,0
"DCCF",0.0869565217391304,0,0.103448275862069,0,0.0344827586206897,0,0.0526315789473684,0,0,0,0.105263157894737,0,0.0909090909090909,0.0434782608695652,0.0909090909090909,0,0.357142857142857,0.428571428571429,0.1,0.5,0.0714285714285714,0.0909090909090909,0.0769230769230769,0,0.461538461538462,0.15,0.545454545454545,0.142857142857143,0.0625,0.111111111111111,0.538461538461538,0.384615384615385,0.0909090909090909,0.3125,0.111111111111111,0.636363636363636,0.0625,0.0555555555555556,0.0625,0.0833333333333333,0.125,0.333333333333333,0.0625,0.461538461538462,0,0,0,0.333333333333333,0,0,0,0,0,0.0625,0
"C5F2",0.130434782608696,0.0625,0.0645161290322581,0.0476190476190476,0.0689655172413793,0.04,0.105263157894737,0.0416666666666667,0.04,0,0.1,0,0.0869565217391304,0,0.0416666666666667,0.0434782608695652,0.176470588235294,0.5,0.0454545454545455,0.461538461538462,0.0666666666666667,0.0833333333333333,0.0714285714285714,0.461538461538462,0,0.142857142857143,0.5,0.133333333333333,0.0588235294117647,0.235294117647059,0.615384615384615,0.583333333333333,0.136363636363636,0.466666666666667,0.05,0.461538461538462,0.0588235294117647,0.0526315789473684,0.125,0.166666666666667,0.117647058823529,0.307692307692308,0.0588235294117647,0.428571428571429,0,0,0.0909090909090909,0.3,0,0,0,0,0,0,0
"AA3C",0.304347826086957,0.166666666666667,0.37037037037037,0.130434782608696,0.206896551724138,0.111111111111111,0.19047619047619,0.16,0.2,0.0909090909090909,0.181818181818182,0.31578947368421,0.16,0.318181818181818,0.115384615384615,0.272727272727273,0.0434782608695652,0.136363636363636,0.35,0.0454545454545455,0.0526315789473684,0.133333333333333,0.1875,0.15,0.142857142857143,0,0.0476190476190476,0.235294117647059,0.1,0.25,0.136363636363636,0.210526315789474,0.380952380952381,0.130434782608696,0.19047619047619,0.0952380952380952,0.375,0.333333333333333,0.222222222222222,0.125,0.277777777777778,0.05,0.157894736842105,0.0434782608695652,0,0.1,0,0,0,0.117647058823529,0.133333333333333,0.157894736842105,0,0.375,0.235294117647059
"80F1",0.0434782608695652,0,0.0333333333333333,0,0.0357142857142857,0,0,0,0,0,0,0,0,0,0,0,0.384615384615385,0.583333333333333,0.05,0.545454545454545,0.0769230769230769,0.1,0.0833333333333333,0.545454545454545,0.5,0.0476190476190476,0,0.0714285714285714,0.0666666666666667,0.0555555555555556,0.461538461538462,0.416666666666667,0.0454545454545455,0.428571428571429,0.0555555555555556,0.416666666666667,0.0666666666666667,0.0588235294117647,0,0,0,0.363636363636364,0,0.5,0,0,0,0.375,0,0,0,0,0,0,0
"CB2B",0.277777777777778,0.272727272727273,0.153846153846154,0.117647058823529,0.0769230769230769,0.15,0.0588235294117647,0,0,0,0.117647058823529,0,0.157894736842105,0.157894736842105,0.0476190476190476,0,0.0625,0.0588235294117647,0.111111111111111,0.0666666666666667,0.181818181818182,0.111111111111111,0.0909090909090909,0.142857142857143,0.133333333333333,0.235294117647059,0.0714285714285714,0,0.153846153846154,0.2,0.125,0.230769230769231,0.294117647058824,0.117647058823529,0.125,0.142857142857143,0.363636363636364,0.0625,0.0714285714285714,0.222222222222222,0.142857142857143,0.0769230769230769,0.153846153846154,0.0625,0.111111111111111,0.363636363636364,0.125,0,0,0,0,0,0,0,0
"5939",0.0434782608695652,0,0.0333333333333333,0,0.0740740740740741,0,0,0,0,0.0588235294117647,0.111111111111111,0,0.277777777777778,0.0454545454545455,0.0454545454545455,0.0476190476190476,0.0588235294117647,0.0555555555555556,0.05,0.0625,0.272727272727273,0.222222222222222,0.3,0.0625,0.0588235294117647,0.1,0.0666666666666667,0.153846153846154,0,0.117647058823529,0.0555555555555556,0.0625,0.0454545454545455,0.0526315789473684,0.1875,0.0625,0.0666666666666667,0.2,0.142857142857143,0,0.133333333333333,0,0.0666666666666667,0,0.222222222222222,0.230769230769231,0,0,0,0.0833333333333333,0,0.142857142857143,0.25,0,0
"0387",0.173913043478261,0.125,0.214285714285714,0.0952380952380952,0.230769230769231,0.08,0.157894736842105,0.181818181818182,0.227272727272727,0.05,0.210526315789474,0.1,0.130434782608696,0.181818181818182,0.0833333333333333,0.19047619047619,0.05,0.1,0.0434782608695652,0.0526315789473684,0.214285714285714,0.0769230769230769,0.142857142857143,0.111111111111111,0.235294117647059,0.25,0.0555555555555556,0.2,0.117647058823529,0,0.222222222222222,0.25,0.238095238095238,0.210526315789474,0.0476190476190476,0.176470588235294,0.117647058823529,0.166666666666667,0.357142857142857,0.25,0.25,0.125,0.117647058823529,0.05,0.0769230769230769,0.0555555555555556,0.0833333333333333,0,0,0,0,0,0,0.0555555555555556,0.0588235294117647
