"","1731","377E","24E9","4ECA","39ED","B75C","BF04","4FE4","4C7B","41C1","22B0","29B2","076C","879F","EC1A","663E","D14D","7C6F","0758","F44A","DCCF","F377","D629","C5F2","15BF","80F1","5909","B8A2","1958","A24D","2D31","B1E3","44BD","ACF4","AA3C","CB2B","5939","0255","A5EF","A539"
"DCCF",0.285714285714286,0.458333333333333,0.346153846153846,0.208333333333333,0.19047619047619,0.16,0.181818181818182,0.379310344827586,0.296296296296296,0.454545454545455,0.363636363636364,0.32,0.478260869565217,0.347826086956522,0.44,0.269230769230769,0.318181818181818,0.304347826086957,0.296296296296296,0.333333333333333,0,0.25,0.366666666666667,0.333333333333333,0.125,0.476190476190476,0.0909090909090909,0.366666666666667,0.08,0.272727272727273,0.34375,0.375,0.181818181818182,0.133333333333333,0.222222222222222,0.25,0.125,0.28,0.25,0.0714285714285714
"F377",0.333333333333333,0.517241379310345,0.692307692307692,0.407407407407407,0.259259259259259,0.357142857142857,0.296296296296296,0.53125,0.571428571428571,0.413793103448276,0.344827586206897,0.555555555555556,0.482758620689655,0.379310344827586,0.551724137931034,0.555555555555556,0.583333333333333,0.392857142857143,0.62962962962963,0.53125,0.25,0,0.515151515151515,0.115384615384615,0.08,0.379310344827586,0.32,0.5625,0.333333333333333,0.444444444444444,0.575757575757576,0.5,0.296296296296296,0.04,0.192307692307692,0.16,0.125,0.205882352941176,0.16,0.0434782608695652
"D629",0.3125,0.666666666666667,0.666666666666667,0.257142857142857,0.212121212121212,0.333333333333333,0.171428571428571,0.71875,0.724137931034483,0.516129032258065,0.5,0.6,0.689655172413793,0.586206896551724,0.7,0.6,0.466666666666667,0.323529411764706,0.5625,0.71875,0.366666666666667,0.515151515151515,0,0.166666666666667,0.0645161290322581,0.533333333333333,0.392857142857143,0.806451612903226,0.5,0.577777777777778,0.757575757575758,0.5,0.242424242424242,0.0666666666666667,0.15625,0.166666666666667,0.0645161290322581,0.305555555555556,0.166666666666667,0.0714285714285714
"C5F2",0.166666666666667,0.208333333333333,0.16,0,0.266666666666667,0.0952380952380952,0.176470588235294,0.214285714285714,0.16,0.238095238095238,0.2,0.227272727272727,0.217391304347826,0.25,0.153846153846154,0.125,0.210526315789474,0.142857142857143,0.16,0.133333333333333,0.333333333333333,0.115384615384615,0.166666666666667,0,0.2,0.19047619047619,0.0588235294117647,0.129032258064516,0.05,0.111111111111111,0.15625,0.173913043478261,0.111111111111111,0.1,0.230769230769231,0.272727272727273,0.2,0.130434782608696,0.166666666666667,0.125
"15BF",0.1875,0.08,0.08,0.105263157894737,0.214285714285714,0.105263157894737,0.384615384615385,0.0666666666666667,0.08,0.0909090909090909,0.0476190476190476,0.0869565217391304,0.0833333333333333,0.0952380952380952,0.0769230769230769,0.0869565217391304,0.105263157894737,0.157894736842105,0.08,0.0666666666666667,0.125,0.08,0.0645161290322581,0.2,0,0.0952380952380952,0,0.0645161290322581,0,0.0434782608695652,0.0606060606060606,0.0869565217391304,0.2,0,0.272727272727273,0.2,0.25,0.142857142857143,0.333333333333333,0
"80F1",0.185185185185185,0.6,0.538461538461538,0.214285714285714,0.25,0.307692307692308,0.148148148148148,0.607142857142857,0.481481481481481,0.423076923076923,0.4,0.52,0.5,0.5,0.576923076923077,0.461538461538462,0.478260869565217,0.25,0.538461538461538,0.5,0.476190476190476,0.379310344827586,0.533333333333333,0.19047619047619,0.0952380952380952,0,0.380952380952381,0.483870967741935,0.333333333333333,0.355555555555556,0.548387096774194,0.52,0.148148148148148,0.1,0.125,0.19047619047619,0.0952380952380952,0.193548387096774,0.136363636363636,0
"5909",0.19047619047619,0.434782608695652,0.375,0.173913043478261,0.210526315789474,0.5,0.0909090909090909,0.407407407407407,0.5,0.363636363636364,0.217391304347826,0.409090909090909,0.333333333333333,0.45,0.416666666666667,0.55,0.421052631578947,0.166666666666667,0.5,0.357142857142857,0.0909090909090909,0.32,0.392857142857143,0.0588235294117647,0,0.380952380952381,0,0.392857142857143,0.785714285714286,0.255813953488372,0.366666666666667,0.476190476190476,0.142857142857143,0.0714285714285714,0,0.0588235294117647,0,0.0344827586206897,0,0.0833333333333333
"B8A2",0.3125,0.666666666666667,0.666666666666667,0.294117647058824,0.212121212121212,0.333333333333333,0.205882352941176,0.666666666666667,0.724137931034483,0.566666666666667,0.5,0.6,0.580645161290323,0.533333333333333,0.7,0.6,0.466666666666667,0.323529411764706,0.612903225806452,0.666666666666667,0.366666666666667,0.5625,0.806451612903226,0.129032258064516,0.0645161290322581,0.483870967741935,0.392857142857143,0,0.448275862068966,0.577777777777778,0.705882352941177,0.548387096774194,0.242424242424242,0.0666666666666667,0.193548387096774,0.166666666666667,0.0645161290322581,0.236842105263158,0.166666666666667,0.0714285714285714
"1958",0.217391304347826,0.44,0.44,0.153846153846154,0.181818181818182,0.428571428571429,0.08,0.464285714285714,0.636363636363636,0.32,0.24,0.478260869565217,0.4,0.391304347826087,0.423076923076923,0.619047619047619,0.363636363636364,0.148148148148148,0.5,0.464285714285714,0.08,0.333333333333333,0.5,0.05,0,0.333333333333333,0.785714285714286,0.448275862068966,0,0.295454545454545,0.466666666666667,0.416666666666667,0.173913043478261,0.0588235294117647,0,0.05,0,0.0645161290322581,0,0.0666666666666667
"A24D",0.1875,0.444444444444444,0.511627906976744,0.25531914893617,0.145833333333333,0.25531914893617,0.142857142857143,0.48936170212766,0.477272727272727,0.441860465116279,0.333333333333333,0.431818181818182,0.488372093023256,0.386363636363636,0.466666666666667,0.465116279069767,0.311111111111111,0.276595744680851,0.444444444444444,0.48936170212766,0.272727272727273,0.444444444444444,0.577777777777778,0.111111111111111,0.0434782608695652,0.355555555555556,0.255813953488372,0.577777777777778,0.295454545454545,0,0.553191489361702,0.4,0.191489361702128,0.0444444444444444,0.130434782608696,0.136363636363636,0.0666666666666667,0.215686274509804,0.111111111111111,0.0465116279069767
