"from","to","weight","pair_type","from_role","to_role","year","pairID"
"AC37","B3E8",0.310344827586207,"mother-random-juvenile","mother","daughter",2021,"AC37-B3E8"
"AC37","0145",0.1875,"mother-random-juvenile","mother","daughter",2021,"0145-AC37"
"AC37","0734",0.142857142857143,"mother-random-juvenile","mother","daughter",2021,"0734-AC37"
"AC37","34C9",0.121212121212121,"mother-random-juvenile","mother","daughter",2021,"34C9-AC37"
"AC37","494F",0.266666666666667,"mother-random-juvenile","mother","daughter",2021,"494F-AC37"
"AC37","8106",0.25,"mother-random-juvenile","mother","daughter",2021,"8106-AC37"
"AC37","8666",0.307692307692308,"mother-random-juvenile","mother","daughter",2021,"8666-AC37"
"AC37","8BE4",0.266666666666667,"mother-random-juvenile","mother","daughter",2021,"8BE4-AC37"
"AC37","9A80",0.0967741935483871,"mother-random-juvenile","mother","daughter",2021,"9A80-AC37"
"AC37","A16E",0.227272727272727,"mother-random-juvenile","mother","daughter",2021,"A16E-AC37"
"AC37","A816",0.357142857142857,"mother-random-juvenile","mother","daughter",2021,"A816-AC37"
"AC37","D849",0.115384615384615,"mother-random-juvenile","mother","daughter",2021,"AC37-D849"
"A42D","076C",0.176470588235294,"mother-random-juvenile","daughter","mother",2021,"076C-A42D"
"B3E8","076C",0.366666666666667,"mother-random-juvenile","daughter","mother",2021,"076C-B3E8"
"0145","076C",0.242424242424242,"mother-random-juvenile","daughter","mother",2021,"0145-076C"
"0734","076C",0.228571428571429,"mother-random-juvenile","daughter","mother",2021,"0734-076C"
"34C9","076C",0.379310344827586,"mother-random-juvenile","daughter","mother",2021,"076C-34C9"
"494F","076C",0.413793103448276,"mother-daughter","daughter","mother",2021,"076C-494F"
"8106","076C",0.162162162162162,"mother-random-juvenile","daughter","mother",2021,"076C-8106"
"8666","076C",0.275862068965517,"mother-random-juvenile","daughter","mother",2021,"076C-8666"
"8BE4","076C",0.28125,"mother-random-juvenile","daughter","mother",2021,"076C-8BE4"
"9A80","076C",0.233333333333333,"mother-random-juvenile","daughter","mother",2021,"076C-9A80"
"A16E","076C",0.153846153846154,"mother-random-juvenile","daughter","mother",2021,"076C-A16E"
"A816","076C",0.205882352941176,"mother-random-juvenile","daughter","mother",2021,"076C-A816"
"076C","D849",0.185185185185185,"mother-random-juvenile","mother","daughter",2021,"076C-D849"
"22B0","8C52",0.444444444444444,"mother-daughter","mother","daughter",2022,"22B0-8C52"
"22B0","8B80",0.142857142857143,"mother-random-juvenile","mother","daughter",2022,"22B0-8B80"
"22B0","922C",0.153846153846154,"mother-random-juvenile","mother","daughter",2022,"22B0-922C"
"22B0","9907",0.181818181818182,"mother-random-juvenile","mother","daughter",2022,"22B0-9907"
"22B0","B0C8",0.05,"mother-random-juvenile","mother","daughter",2022,"22B0-B0C8"
"22B0","FB4B",0.117647058823529,"mother-random-juvenile","mother","daughter",2022,"22B0-FB4B"
"22B0","0A62",0.0434782608695652,"mother-random-juvenile","mother","daughter",2022,"0A62-22B0"
"22B0","0F3D",0.0909090909090909,"mother-random-juvenile","mother","daughter",2022,"0F3D-22B0"
"22B0","0636",0.15,"mother-random-juvenile","mother","daughter",2022,"0636-22B0"
"8787","8C52",0.2,"mother-random-juvenile","mother","daughter",2022,"8787-8C52"
"8787","8B80",0.0952380952380952,"mother-random-juvenile","mother","daughter",2022,"8787-8B80"
"8787","922C",0.05,"mother-random-juvenile","mother","daughter",2022,"8787-922C"
"8787","9907",0.0625,"mother-random-juvenile","mother","daughter",2022,"8787-9907"
"8C52","879F",0.392857142857143,"mother-random-juvenile","daughter","mother",2022,"879F-8C52"
"8C52","418B",0.214285714285714,"mother-random-juvenile","daughter","mother",2022,"418B-8C52"
"8C52","F44A",0.137931034482759,"mother-random-juvenile","daughter","mother",2022,"8C52-F44A"
"8C52","44BD",0.166666666666667,"mother-random-juvenile","daughter","mother",2022,"44BD-8C52"
"8C52","2D31",0.172413793103448,"mother-random-juvenile","daughter","mother",2022,"2D31-8C52"
"8C52","BF04",0.032258064516129,"mother-random-juvenile","daughter","mother",2022,"8C52-BF04"
"8C52","41C1",0.04,"mother-random-juvenile","daughter","mother",2022,"41C1-8C52"
"8C52","E063",0.0769230769230769,"mother-random-juvenile","daughter","mother",2022,"8C52-E063"
"8C52","AA3C",0.37037037037037,"mother-random-juvenile","daughter","mother",2022,"8C52-AA3C"
"8C52","5939",0.0333333333333333,"mother-random-juvenile","daughter","mother",2022,"5939-8C52"
"8C52","A816",0.192307692307692,"mother-random-juvenile","daughter","mother",2022,"8C52-A816"
"8C52","A24D",0.107142857142857,"mother-random-juvenile","daughter","mother",2022,"8C52-A24D"
"8C52","D4DC",0.08,"mother-random-juvenile","daughter","mother",2022,"8C52-D4DC"
"8C52","F377",0.107142857142857,"mother-random-juvenile","daughter","mother",2022,"8C52-F377"
"8C52","D629",0.03125,"mother-random-juvenile","daughter","mother",2022,"8C52-D629"
"8C52","663E",0.0689655172413793,"mother-random-juvenile","daughter","mother",2022,"663E-8C52"
"879F","8B80",0.185185185185185,"mother-random-juvenile","mother","daughter",2022,"879F-8B80"
"879F","922C",0.111111111111111,"mother-random-juvenile","mother","daughter",2022,"879F-922C"
"879F","9907",0.0833333333333333,"mother-random-juvenile","mother","daughter",2022,"879F-9907"
"879F","FB4B",0.0555555555555556,"mother-random-juvenile","mother","daughter",2022,"879F-FB4B"
"879F","0A62",0.0434782608695652,"mother-random-juvenile","mother","daughter",2022,"0A62-879F"
"879F","0F3D",0.0434782608695652,"mother-daughter","mother","daughter",2022,"0F3D-879F"
"879F","0636",0.0454545454545455,"mother-random-juvenile","mother","daughter",2022,"0636-879F"
"418B","8B80",0.285714285714286,"mother-random-juvenile","mother","daughter",2022,"418B-8B80"
"418B","922C",0.25,"mother-random-juvenile","mother","daughter",2022,"418B-922C"
"418B","9907",0.05,"mother-random-juvenile","mother","daughter",2022,"418B-9907"
"418B","FB4B",0.0769230769230769,"mother-random-juvenile","mother","daughter",2022,"418B-FB4B"
"418B","0F3D",0.0555555555555556,"mother-random-juvenile","mother","daughter",2022,"0F3D-418B"
"418B","0636",0.125,"mother-random-juvenile","mother","daughter",2022,"0636-418B"
"418B","F948",0.0909090909090909,"mother-random-juvenile","mother","daughter",2022,"418B-F948"
"8B80","F44A",0.0833333333333333,"mother-random-juvenile","daughter","mother",2022,"8B80-F44A"
"8B80","44BD",0.217391304347826,"mother-random-juvenile","daughter","mother",2022,"44BD-8B80"
"8B80","2D31",0.227272727272727,"mother-daughter","daughter","mother",2022,"2D31-8B80"
"8B80","41C1",0.0555555555555556,"mother-random-juvenile","daughter","mother",2022,"41C1-8B80"
"8B80","E063",0.105263157894737,"mother-random-juvenile","daughter","mother",2022,"8B80-E063"
"8B80","AA3C",0.2,"mother-random-juvenile","daughter","mother",2022,"8B80-AA3C"
"8B80","A816",0.142857142857143,"mother-random-juvenile","daughter","mother",2022,"8B80-A816"
"8B80","A24D",0.263157894736842,"mother-random-juvenile","daughter","mother",2022,"8B80-A24D"
"8B80","D4DC",0.0526315789473684,"mother-random-juvenile","daughter","mother",2022,"8B80-D4DC"
"8B80","F377",0.142857142857143,"mother-random-juvenile","daughter","mother",2022,"8B80-F377"
"F44A","922C",0.263157894736842,"mother-daughter","mother","daughter",2022,"922C-F44A"
"F44A","9907",0.176470588235294,"mother-random-juvenile","mother","daughter",2022,"9907-F44A"
"44BD","922C",0.181818181818182,"mother-random-juvenile","mother","daughter",2022,"44BD-922C"
"44BD","9907",0.157894736842105,"mother-random-juvenile","mother","daughter",2022,"44BD-9907"
"44BD","0F3D",0.0526315789473684,"mother-random-juvenile","mother","daughter",2022,"0F3D-44BD"
"2D31","922C",0.315789473684211,"mother-random-juvenile","mother","daughter",2022,"2D31-922C"
"2D31","9907",0.3125,"mother-random-juvenile","mother","daughter",2022,"2D31-9907"
"2D31","B0C8",0.0666666666666667,"mother-random-juvenile","mother","daughter",2022,"2D31-B0C8"
"2D31","FB4B",0.272727272727273,"mother-random-juvenile","mother","daughter",2022,"2D31-FB4B"
"2D31","0A62",0.117647058823529,"mother-random-juvenile","mother","daughter",2022,"0A62-2D31"
"2D31","0F3D",0.266666666666667,"mother-random-juvenile","mother","daughter",2022,"0F3D-2D31"
"2D31","0636",0.384615384615385,"mother-random-juvenile","mother","daughter",2022,"0636-2D31"
"2D31","F948",0.0909090909090909,"mother-random-juvenile","mother","daughter",2022,"2D31-F948"
"922C","41C1",0.133333333333333,"mother-random-juvenile","daughter","mother",2022,"41C1-922C"
"922C","E063",0.1875,"mother-random-juvenile","daughter","mother",2022,"922C-E063"
"922C","AA3C",0.272727272727273,"mother-random-juvenile","daughter","mother",2022,"922C-AA3C"
"922C","5939",0.0476190476190476,"mother-random-juvenile","daughter","mother",2022,"5939-922C"
"922C","A816",0.1,"mother-random-juvenile","daughter","mother",2022,"922C-A816"
"922C","A24D",0.294117647058824,"mother-random-juvenile","daughter","mother",2022,"922C-A24D"
"922C","D4DC",0.0588235294117647,"mother-random-juvenile","daughter","mother",2022,"922C-D4DC"
"922C","F377",0.157894736842105,"mother-random-juvenile","daughter","mother",2022,"922C-F377"
"BF04","9907",0.0555555555555556,"mother-random-juvenile","mother","daughter",2022,"9907-BF04"
"BF04","054D",0.1,"mother-random-juvenile","mother","daughter",2022,"054D-BF04"
"BF04","0F3D",0.0625,"mother-random-juvenile","mother","daughter",2022,"0F3D-BF04"
"41C1","9907",0.3,"mother-random-juvenile","mother","daughter",2022,"41C1-9907"
"E063","9907",0.363636363636364,"mother-random-juvenile","mother","daughter",2022,"9907-E063"
"AA3C","9907",0.333333333333333,"mother-random-juvenile","mother","daughter",2022,"9907-AA3C"
"AA3C","B0C8",0.117647058823529,"mother-random-juvenile","mother","daughter",2022,"AA3C-B0C8"
"AA3C","FB4B",0.133333333333333,"mother-random-juvenile","mother","daughter",2022,"AA3C-FB4B"
