"","4ECA","39ED","AC35","41C1","22B0","076C","879F","F44A","44BD","DCCF","C5F2","15BF","AA3C","CB2B","5939","0255","B8A2","A24D","2D31","0387","C809","3CC1","418B","AC37","F429","A42D","0145","0734","34C9","494F","8BE4","9A80","8C52","922C","B0C8","0F3D","0636","12D7","EB80","F4D9","DFAD","B484","0CE1","04DB","04D3","0B04","09B4","10B4","0739","F1D5","0122","0482","10B6","104E","0BA0","0DE4","062C","088C","29B2","663E","80F1","0A62","8B80","054D","BF04","D629","EE51","CC06"
"C809",0.307692307692308,0.0434782608695652,0.2,0.148148148148148,0.121212121212121,0.0909090909090909,0.131578947368421,0.0526315789473684,0.0476190476190476,0.269230769230769,0.227272727272727,0.0526315789473684,0.21875,0.142857142857143,0.291666666666667,0.0476190476190476,0.173913043478261,0.2,0,0.0416666666666667,0,0.15,0.0540540540540541,0.151515151515152,0.1,0.275862068965517,0.192307692307692,0.05,0.027027027027027,0.128205128205128,0.21875,0,0.0909090909090909,0.0789473684210526,0.0434782608695652,0.03125,0.192307692307692,0.0526315789473684,0.173913043478261,0.05,0.04,0.135135135135135,0.125,0.0555555555555556,0.157894736842105,0.2,0.0263157894736842,0,0.105263157894737,0.130434782608696,0.25,0.0434782608695652,0.0909090909090909,0.185185185185185,0.0689655172413793,0.0952380952380952,0.05,0.214285714285714,0.173913043478261,0.04,0,0.2,0.037037037037037,0.0909090909090909,0,0.05,0.0869565217391304,0
"3CC1",0.266666666666667,0.125,0.25,0.142857142857143,0,0.05,0,0,0.4,0.285714285714286,0.5,0.25,0.142857142857143,0.125,0.142857142857143,0.166666666666667,0.0909090909090909,0.153846153846154,0,0,0.15,0,0,0,0.166666666666667,0.222222222222222,0.333333333333333,0.2,0,0,0.2,0,0,0,0.285714285714286,0.0588235294117647,0.142857142857143,0.25,0.0909090909090909,0.2,0,0,0,0,0,0,0,0,0.5,0.1,0.19047619047619,0.125,0.285714285714286,0.214285714285714,0.230769230769231,0.333333333333333,0.5,0.117647058823529,0,0,0,0.25,0,0.285714285714286,0,0,0,0
"418B",0.0606060606060606,0,0,0,0.225806451612903,0.233333333333333,0.157894736842105,0.366666666666667,0,0,0,0,0,0,0,0.0952380952380952,0.037037037037037,0,0.24,0.130434782608696,0.0540540540540541,0,0,0.3,0,0,0,0,0.258064516129032,0.40625,0,0.333333333333333,0.37037037037037,0.5,0,0.307692307692308,0,0,0,0,0.08,0.433333333333333,0.314285714285714,0.392857142857143,0.40625,0.192307692307692,0.333333333333333,0.392857142857143,0,0,0.025,0,0,0,0,0,0,0,0,0.08,0,0,0.318181818181818,0,0,0,0,0
"AC37",0.0967741935483871,0,0,0,0.233333333333333,0.241379310344828,0.34375,0.333333333333333,0,0.0645161290322581,0,0,0,0.0909090909090909,0,0.1,0.0384615384615385,0,0.25,0.0869565217391304,0.151515151515152,0,0.3,0,0,0,0,0,0.310344827586207,0.333333333333333,0.0540540540540541,0.206896551724138,0.2,0.366666666666667,0,0.178571428571429,0,0,0,0,0.130434782608696,0.555555555555556,0.323529411764706,0.357142857142857,0.333333333333333,0.304347826086957,0.3,0.1875,0,0,0.0810810810810811,0,0.0434782608695652,0,0,0,0,0,0,0.04,0,0,0.217391304347826,0,0,0,0,0
"F429",0.0588235294117647,0.142857142857143,0.166666666666667,0.0714285714285714,0,0.0526315789473684,0,0,0.2,0.0625,0.1,0.333333333333333,0.0952380952380952,0.333333333333333,0.0714285714285714,0.2,0.222222222222222,0.0769230769230769,0,0,0.1,0.166666666666667,0,0,0,0.105263157894737,0.0714285714285714,0.666666666666667,0,0,0.0454545454545455,0,0,0,0.142857142857143,0.0625,0.0714285714285714,0.333333333333333,0.1,0.666666666666667,0,0,0,0,0,0,0,0,0.25,0.111111111111111,0.0909090909090909,0.142857142857143,0.142857142857143,0.0666666666666667,0.0714285714285714,0.166666666666667,0.25,0.125,0.222222222222222,0,0,0.0769230769230769,0,0.142857142857143,0.333333333333333,0,0,0
"A42D",0.269230769230769,0.0454545454545455,0.45,0.363636363636364,0,0.0294117647058824,0,0,0.105263157894737,0.28,0.238095238095238,0.0555555555555556,0.652173913043478,0.0952380952380952,0.25,0.05,0.130434782608696,0.380952380952381,0,0,0.275862068965517,0.222222222222222,0,0,0.105263157894737,0,0.25,0.0526315789473684,0,0,0.52,0,0,0,0.15,0.032258064516129,0.363636363636364,0.0555555555555556,0.130434782608696,0.0526315789473684,0,0,0.0232558139534884,0,0,0,0,0,0.111111111111111,0.19047619047619,0.444444444444444,0.0952380952380952,0.0952380952380952,0.192307692307692,0.304347826086957,0.1,0.111111111111111,0.375,0.130434782608696,0.136363636363636,0,0.45,0,0.15,0,0,0.142857142857143,0.157894736842105
"0145",0.35,0.133333333333333,0.210526315789474,0.142857142857143,0.0714285714285714,0.0357142857142857,0.0588235294117647,0,0.25,0.529411764705882,0.666666666666667,0.0833333333333333,0.230769230769231,0.0625,0.2,0.0714285714285714,0.176470588235294,0.15,0,0.0588235294117647,0.192307692307692,0.333333333333333,0,0,0.0714285714285714,0.25,0,0.0769230769230769,0,0,0.230769230769231,0,0,0,0.214285714285714,0.04,0.2,0.0833333333333333,0.176470588235294,0.0769230769230769,0,0,0.0555555555555556,0,0,0,0,0,0.166666666666667,0.0555555555555556,0.269230769230769,0.133333333333333,0.133333333333333,0.470588235294118,0.333333333333333,0.333333333333333,0.166666666666667,0.285714285714286,0.111111111111111,0.0555555555555556,0,0.277777777777778,0,0.214285714285714,0,0.0769230769230769,0,0.0666666666666667
"0734",0.0625,0.166666666666667,0.0833333333333333,0.0769230769230769,0,0.0555555555555556,0,0,0.25,0.0666666666666667,0.111111111111111,0.5,0.0476190476190476,0.166666666666667,0.0769230769230769,0.25,0.111111111111111,0.0833333333333333,0,0,0.05,0.2,0,0,0.666666666666667,0.0526315789473684,0.0769230769230769,0,0,0,0.0476190476190476,0,0,0,0.166666666666667,0.0666666666666667,0.0769230769230769,0.5,0.111111111111111,1,0,0,0,0,0,0,0,0,0.333333333333333,0.125,0.0454545454545455,0.166666666666667,0.166666666666667,0.0714285714285714,0.0769230769230769,0.2,0.333333333333333,0.0625,0.111111111111111,0,0,0,0,0.166666666666667,0.5,0,0,0
"34C9",0.0625,0.0434782608695652,0,0,0.193548387096774,0.2,0.131578947368421,0.428571428571429,0,0.0645161290322581,0,0,0,0,0,0.0476190476190476,0.0384615384615385,0,0.363636363636364,0.19047619047619,0.027027027027027,0,0.258064516129032,0.310344827586207,0,0,0,0,0,0.419354838709677,0.114285714285714,0.458333333333333,0.285714285714286,0.413793103448276,0.0434782608695652,0.32,0,0,0,0,0.181818181818182,0.4,0.285714285714286,0.52,0.466666666666667,0.153846153846154,0.444444444444444,0.52,0,0.0833333333333333,0.0810810810810811,0,0.0909090909090909,0.032258064516129,0.0689655172413793,0,0,0.0303030303030303,0,0.130434782608696,0,0,0.272727272727273,0,0,0,0,0
"494F",0.0810810810810811,0.0714285714285714,0,0,0.264705882352941,0.4,0.289473684210526,0.642857142857143,0,0.0263157894736842,0,0,0,0.0344827586206897,0,0,0.0645161290322581,0,0.285714285714286,0.192307692307692,0.128205128205128,0,0.40625,0.333333333333333,0,0,0,0,0.419354838709677,0,0.0714285714285714,0.464285714285714,0.354838709677419,0.46875,0,0.392857142857143,0,0,0,0,0.103448275862069,0.548387096774194,0.378378378378378,0.517241379310345,0.785714285714286,0.384615384615385,0.451612903225806,0.571428571428571,0,0,0.0697674418604651,0,0.0344827586206897,0,0,0,0,0,0,0.142857142857143,0,0,0.259259259259259,0,0,0,0,0
