"","24E9","4ECA","39ED","AC35","BF04","4FE4","29B2","076C","EC1A","D14D","7C6F","F44A","A539","44BD","DCCF","F377","D629","C5F2","AA3C","80F1","CB2B","255","A5EF","B75C","22B0","15BF","5939","41C1","879F","663E","377E","4C7B","E063","B8A2","A24D","2D31","1731","387","A312","82C7","D3E1","C809","3CC1","3C0F","5A31","AC37","9A5D","418B","8787","D4DC","F429"
"CB2B",0.278481012658228,0.322222222222222,0.3625,0.329113924050633,0.368421052631579,0.329113924050633,0.25,0.352941176470588,0.261682242990654,0.295454545454545,0.382716049382716,0.2875,0.270588235294118,0.278481012658228,0.348837209302326,0.349397590361446,0.224719101123595,0.337078651685393,0.291139240506329,0.367088607594937,0,0.215909090909091,0.321428571428571,0.171428571428571,0.295454545454545,0.232558139534884,0.241758241758242,0.328947368421053,0.318181818181818,0.382716049382716,0.311111111111111,0.337209302325581,0.277777777777778,0.284090909090909,0.285714285714286,0.347222222222222,0.265957446808511,0.0172413793103448,0.0188679245283019,0.0161290322580645,0.0327868852459016,0.032258064516129,0.0317460317460317,0,0,0,0.0169491525423729,0,0.0338983050847458,0.0163934426229508,0
"255",0.204545454545455,0.333333333333333,0.1875,0.208791208791209,0.282352941176471,0.294117647058824,0.333333333333333,0.333333333333333,0.320754716981132,0.239583333333333,0.36046511627907,0.333333333333333,0.313953488372093,0.261904761904762,0.375,0.392857142857143,0.357142857142857,0.305263157894737,0.175824175824176,0.269662921348315,0.215909090909091,0,0.247311827956989,0.12987012987013,0.22680412371134,0.337349397590361,0.475,0.308641975308642,0.375,0.3,0.32258064516129,0.290322580645161,0.293333333333333,0.156862745098039,0.202127659574468,0.259259259259259,0.305263157894737,0.032258064516129,0,0.0625,0.0625,0.0454545454545455,0.09375,0.015625,0.0508474576271186,0.078125,0.0483870967741935,0.0793650793650794,0.0819672131147541,0.0806451612903226,0.0327868852459016
"A5EF",0.447368421052632,0.230769230769231,0.296703296703297,0.341176470588235,0.269662921348315,0.310344827586207,0.305263157894737,0.319148936170213,0.333333333333333,0.33695652173913,0.315217391304348,0.272727272727273,0.314606741573034,0.392405063291139,0.262626262626263,0.344444444444444,0.229166666666667,0.361702127659574,0.40506329113924,0.258064516129032,0.321428571428571,0.247311827956989,0,0.3,0.268041237113402,0.369047619047619,0.244897959183673,0.325301204819277,0.262626262626263,0.287234042553192,0.309278350515464,0.362637362637363,0.231707317073171,0.355555555555556,0.4625,0.292682926829268,0.196261682242991,0.0303030303030303,0.0327868852459016,0.0434782608695652,0.0746268656716418,0.0579710144927536,0.0571428571428571,0.0147058823529412,0,0.0138888888888889,0.0298507462686567,0.0285714285714286,0.0606060606060606,0.0441176470588235,0
"B75C",0.285714285714286,0.125,0.236111111111111,0.25,0.183098591549296,0.197183098591549,0.130952380952381,0.17283950617284,0.0952380952380952,0.253333333333333,0.135802469135802,0.202898550724638,0.189189189189189,0.327868852459016,0.0786516853932584,0.26027397260274,0.0987654320987654,0.151162790697674,0.344262295081967,0.205479452054795,0.171428571428571,0.12987012987013,0.3,0,0.205128205128205,0.303030303030303,0.148148148148148,0.191176470588235,0.170731707317073,0.194805194805195,0.126436781609195,0.17283950617284,0.161290322580645,0.273972602739726,0.257142857142857,0.283333333333333,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"22B0",0.269662921348315,0.350515463917526,0.287234042553192,0.24468085106383,0.348837209302326,0.285714285714286,0.295918367346939,0.395604395604396,0.348623853211009,0.272727272727273,0.305263157894737,0.306818181818182,0.276595744680851,0.241758241758242,0.242718446601942,0.362637362637363,0.23469387755102,0.378947368421053,0.2,0.2,0.295454545454545,0.22680412371134,0.268041237113402,0.205128205128205,0,0.372093023255814,0.329787234042553,0.345238095238095,0.376344086021505,0.347826086956522,0.326530612244898,0.322916666666667,0.316455696202532,0.25,0.2,0.252873563218391,0.259615384615385,0.0289855072463768,0.0153846153846154,0.0273972602739726,0,0.027027027027027,0.0266666666666667,0.0285714285714286,0.0298507462686567,0.0410958904109589,0.0434782608695652,0.0416666666666667,0.028169014084507,0.0277777777777778,0.0144927536231884
"15BF",0.329113924050633,0.28125,0.345238095238095,0.282352941176471,0.367088607594937,0.345679012345679,0.383720930232558,0.322222222222222,0.362745098039216,0.268817204301075,0.333333333333333,0.371794871794872,0.244444444444444,0.438356164383562,0.276595744680851,0.380952380952381,0.255555555555556,0.366666666666667,0.218390804597701,0.28735632183908,0.232558139534884,0.337349397590361,0.369047619047619,0.303030303030303,0.372093023255814,0,0.426829268292683,0.381578947368421,0.333333333333333,0.318181818181818,0.355555555555556,0.367816091954023,0.28,0.21875,0.272727272727273,0.231707317073171,0.308510638297872,0.0327868852459016,0.0357142857142857,0.0307692307692308,0.0307692307692308,0.0149253731343284,0.0298507462686567,0,0,0,0,0,0,0,0
"5939",0.244444444444444,0.41304347826087,0.276595744680851,0.247311827956989,0.369047619047619,0.274725274725275,0.384615384615385,0.384615384615385,0.46,0.302083333333333,0.430232558139535,0.310344827586207,0.322222222222222,0.272727272727273,0.459770114942529,0.308510638297872,0.44578313253012,0.477272727272727,0.189473684210526,0.307692307692308,0.241758241758242,0.475,0.244897959183673,0.148148148148148,0.329787234042553,0.426829268292683,0,0.333333333333333,0.309278350515464,0.366666666666667,0.482758620689655,0.448275862068966,0.2875,0.278350515463918,0.239583333333333,0.241379310344828,0.444444444444444,0.111111111111111,0.0317460317460317,0.138461538461538,0.121212121212121,0.0869565217391304,0.151515151515152,0.0441176470588235,0,0.0416666666666667,0.0757575757575758,0.0882352941176471,0.0434782608695652,0.123076923076923,0.078125
"41C1",0.298701298701299,0.311111111111111,0.301204819277108,0.405405405405405,0.410958904109589,0.368421052631579,0.390243902439024,0.341176470588235,0.353535353535354,0.313953488372093,0.321428571428571,0.24390243902439,0.215909090909091,0.31578947368421,0.292134831460674,0.423076923076923,0.333333333333333,0.340909090909091,0.383561643835616,0.244186046511628,0.328947368421053,0.308641975308642,0.325301204819277,0.191176470588235,0.345238095238095,0.381578947368421,0.333333333333333,0,0.385542168674699,0.460526315789474,0.329545454545455,0.461538461538462,0.3,0.258426966292135,0.289156626506024,0.315068493150685,0.296703296703297,0.0357142857142857,0.0192307692307692,0.0333333333333333,0.0163934426229508,0.0327868852459016,0.032258064516129,0,0,0,0.0172413793103448,0,0.0169491525423729,0.0166666666666667,0
"879F",0.263736263736264,0.357142857142857,0.32258064516129,0.352272727272727,0.372093023255814,0.4,0.433333333333333,0.372340425531915,0.37962962962963,0.254901960784314,0.298969072164948,0.285714285714286,0.232323232323232,0.369047619047619,0.34020618556701,0.415730337078652,0.308510638297872,0.33,0.260869565217391,0.257731958762887,0.318181818181818,0.375,0.262626262626263,0.170731707317073,0.376344086021505,0.333333333333333,0.309278350515464,0.385542168674699,0,0.354838709677419,0.375,0.402173913043478,0.325,0.257425742574257,0.232323232323232,0.321428571428571,0.303921568627451,0.0428571428571429,0.0303030303030303,0.0547945205479452,0.0266666666666667,0.04,0.0394736842105263,0.072463768115942,0.0757575757575758,0.0833333333333333,0.0422535211267606,0.1,0.0869565217391304,0.0410958904109589,0.0285714285714286
"663E",0.290697674418605,0.316326530612245,0.4,0.337209302325581,0.407407407407407,0.402439024390244,0.358695652173913,0.404494382022472,0.342592592592593,0.393258426966292,0.452380952380952,0.329411764705882,0.35632183908046,0.275862068965517,0.384615384615385,0.386363636363636,0.352272727272727,0.417582417582418,0.258426966292135,0.296703296703297,0.382716049382716,0.3,0.287234042553192,0.194805194805195,0.347826086956522,0.318181818181818,0.366666666666667,0.460526315789474,0.354838709677419,0,0.391304347826087,0.453488372093023,0.342105263157895,0.366666666666667,0.311111111111111,0.273809523809524,0.303030303030303,0.0454545454545455,0.0491803278688525,0.0428571428571429,0.028169014084507,0.0277777777777778,0.0416666666666667,0.0294117647058824,0.0151515151515152,0.0277777777777778,0.0144927536231884,0.028169014084507,0.0441176470588235,0.0140845070422535,0
