"","1731","377E","4ECA","39ED","B75C","AC35","BF04","4FE4","4C7B","41C1","22B0","29B2","E063","EC1A","663E","D14D","7C6F","A539","80F1","CB2B","076C","879F","44BD","DCCF","15BF","F44A","758","F377","D629","5939","255","A5EF","24E9","AA3C","ACF4","C5F2","5909","B8A2","1958","A24D","2D31","B1E3"
"22B0",0.419354838709677,0.477777777777778,0.350515463917526,0.467391304347826,0.42,0.24,0.425531914893617,0.568181818181818,0.593023255813954,0.558139534883721,0,0.426966292134831,0.2,0.553191489361702,0.516129032258065,0.478260869565217,0.511111111111111,0.31578947368421,0.478723404255319,0.240963855421687,0.494736842105263,0.523809523809524,0.268817204301075,0.348837209302326,0.228260869565217,0.545454545454545,0.521276595744681,0.48936170212766,0.571428571428571,0.164556962025316,0.282608695652174,0.244186046511628,0.452631578947368,0.17283950617284,0.265060240963855,0.244186046511628,0.0714285714285714,0.20253164556962,0.0833333333333333,0.19047619047619,0.180722891566265,0.115384615384615
"29B2",0.477777777777778,0.558139534883721,0.434782608695652,0.478260869565217,0.489583333333333,0.160493827160494,0.467391304347826,0.579545454545455,0.604651162790698,0.5,0.426966292134831,0,0.103896103896104,0.547368421052632,0.595505617977528,0.489130434782609,0.397959183673469,0.174418604651163,0.538461538461538,0.155555555555556,0.459183673469388,0.449438202247191,0.352272727272727,0.36046511627907,0.266666666666667,0.489130434782609,0.6,0.620689655172414,0.565217391304348,0.134146341463415,0.214285714285714,0.241379310344828,0.494623655913978,0.246753246753247,0.204545454545455,0.255813953488372,0.134328358208955,0.230769230769231,0.161764705882353,0.231707317073171,0.207317073170732,0.205479452054795
"E063",0.2,0.22972972972973,0.186666666666667,0.192307692307692,0.162790697674419,0.545454545454545,0.226666666666667,0.2,0.25,0.210526315789474,0.2,0.103896103896104,0,0.195402298850575,0.164705882352941,0.236842105263158,0.220779220779221,0.380952380952381,0.168674698795181,0.173076923076923,0.19047619047619,0.146666666666667,0.206349206349206,0.275862068965517,0.290909090909091,0.160493827160494,0.216867469879518,0.166666666666667,0.174418604651163,0.31578947368421,0.206349206349206,0.274509803921569,0.116279069767442,0.232558139534884,0.285714285714286,0.274509803921569,0,0,0,0,0,0
"EC1A",0.52,0.681318681318681,0.480392156862745,0.581632653061224,0.588235294117647,0.228260869565217,0.509803921568627,0.663157894736842,0.706521739130435,0.621052631578947,0.553191489361702,0.547368421052632,0.195402298850575,0,0.65979381443299,0.659574468085106,0.591836734693878,0.318681318681319,0.639175257731959,0.255102040816327,0.603960396039604,0.574468085106383,0.468085106382979,0.446808510638298,0.33,0.625,0.646464646464647,0.616161616161616,0.71578947368421,0.230769230769231,0.366336633663366,0.309278350515464,0.612244897959184,0.25,0.344086021505376,0.336842105263158,0.117647058823529,0.25,0.126436781609195,0.237113402061856,0.216494845360825,0.188888888888889
"663E",0.53125,0.574468085106383,0.46,0.612903225806452,0.670212765957447,0.227272727272727,0.568421052631579,0.610526315789474,0.652173913043478,0.655555555555556,0.516129032258065,0.595505617977528,0.164705882352941,0.65979381443299,0,0.606382978723404,0.540816326530612,0.292134831460674,0.604166666666667,0.311111111111111,0.509615384615385,0.554347826086957,0.461538461538462,0.423913043478261,0.376344086021505,0.589473684210526,0.628865979381443,0.614583333333333,0.628865979381443,0.229885057471264,0.278846153846154,0.311827956989247,0.59375,0.208791208791209,0.318681318681319,0.28421052631579,0.139240506329114,0.195652173913043,0.1625,0.210526315789474,0.202127659574468,0.172413793103448
"D14D",0.543478260869565,0.588888888888889,0.584269662921348,0.647727272727273,0.617021276595745,0.271604938271605,0.617977528089888,0.574468085106383,0.615384615384615,0.565217391304348,0.478260869565217,0.489130434782609,0.236842105263158,0.659574468085106,0.606382978723404,0,0.505154639175258,0.235955056179775,0.568421052631579,0.269662921348315,0.52,0.516483516483517,0.471264367816092,0.415730337078652,0.351648351648352,0.489795918367347,0.645161290322581,0.612903225806452,0.545454545454545,0.24390243902439,0.254901960784314,0.3,0.510204081632653,0.235294117647059,0.337209302325581,0.329545454545455,0.103896103896104,0.153846153846154,0.1,0.145833333333333,0.148936170212766,0.141176470588235
"7C6F",0.51063829787234,0.521276595744681,0.48421052631579,0.510416666666667,0.551020408163265,0.226190476190476,0.531914893617021,0.48,0.580645161290323,0.582417582417582,0.511111111111111,0.397959183673469,0.220779220779221,0.591836734693878,0.540816326530612,0.505154639175258,0,0.27906976744186,0.475247524752475,0.241758241758242,0.461538461538462,0.468085106382979,0.438202247191011,0.354838709677419,0.294736842105263,0.505154639175258,0.53,0.485148514851485,0.5,0.214285714285714,0.306122448979592,0.3,0.465346534653465,0.235294117647059,0.292134831460674,0.258064516129032,0.0493827160493827,0.117021276595745,0.0476190476190476,0.134020618556701,0.125,0.102272727272727
"A539",0.308641975308642,0.258823529411765,0.22093023255814,0.282352941176471,0.274725274725275,0.456521739130435,0.213483146067416,0.258426966292135,0.290697674418605,0.241379310344828,0.31578947368421,0.174418604651163,0.380952380952381,0.318681318681319,0.292134831460674,0.235955056179775,0.27906976744186,0,0.269662921348315,0.375,0.303370786516854,0.275,0.295774647887324,0.304347826086957,0.403225806451613,0.208791208791209,0.24468085106383,0.252747252747253,0.24468085106383,0.294117647058824,0.373134328358209,0.327868852459016,0.191489361702128,0.30188679245283,0.462962962962963,0.306451612903226,0.0208333333333333,0.0298507462686567,0.0196078431372549,0.0277777777777778,0.0140845070422535,0.0338983050847458
"80F1",0.510416666666667,0.553191489361702,0.425742574257426,0.541666666666667,0.504854368932039,0.261904761904762,0.484848484848485,0.606382978723404,0.54639175257732,0.563829787234043,0.478723404255319,0.538461538461538,0.168674698795181,0.639175257731959,0.604166666666667,0.568421052631579,0.475247524752475,0.269662921348315,0,0.274725274725275,0.504854368932039,0.54945054945055,0.378947368421053,0.433333333333333,0.326315789473684,0.552083333333333,0.529411764705882,0.577319587628866,0.575757575757576,0.206896551724138,0.323232323232323,0.290322580645161,0.480392156862745,0.227272727272727,0.282608695652174,0.318681318681319,0.1,0.186813186813187,0.0963855421686747,0.189473684210526,0.193548387096774,0.162790697674419
"CB2B",0.267441860465116,0.182795698924731,0.227272727272727,0.258426966292135,0.265957446808511,0.25,0.21978021978022,0.236559139784946,0.2,0.275862068965517,0.240963855421687,0.155555555555556,0.173076923076923,0.255102040816327,0.311111111111111,0.269662921348315,0.241758241758242,0.375,0.274725274725275,0,0.239583333333333,0.280487804878049,0.319444444444444,0.309859154929577,0.384615384615385,0.189473684210526,0.16504854368932,0.231578947368421,0.188118811881188,0.232142857142857,0.357142857142857,0.354838709677419,0.210526315789474,0.285714285714286,0.389830508474576,0.3125,0.0196078431372549,0.0746268656716418,0.0185185185185185,0.0845070422535211,0.0714285714285714,0.0491803278688525
