"","1731","6D0D","D726","07F9","AA57","BF04","C950","39ED","377E","B75C","9E17","4FE4","0D1B","2C18","24E9","4ECA","AC35","52AD","4C7B","41C1","22B0","076C","879F","B587","7C6F","3F49","E063","29B2","EC1A","663E","6B55","9A91","125F","F534","256A","2BFD"
"22B0",0.121212121212121,0.136986301369863,0.253968253968254,0.214285714285714,0.292307692307692,0.17948717948718,0.184615384615385,0.304347826086957,0.145161290322581,0.164383561643836,0.19047619047619,0.359375,0.290322580645161,0.272727272727273,0.169230769230769,0.236111111111111,0.163934426229508,0.223684210526316,0.203389830508475,0.0933333333333333,0,0.301587301587302,0.298507462686567,0.318181818181818,0.136363636363636,0.153846153846154,0.148148148148148,0.258620689655172,0.11864406779661,0.0689655172413793,0.21875,0,0.0238095238095238,0.0465116279069767,0.1,0.12962962962963
"076C",0.2,0.175675675675676,0.238805970149254,0.171052631578947,0.491525423728814,0.28,0.306451612903226,0.236842105263158,0.229508196721311,0.253521126760563,0.253968253968254,0.444444444444444,0.423728813559322,0.313432835820896,0.230769230769231,0.388059701492537,0.19047619047619,0.347222222222222,0.339285714285714,0.194444444444444,0.301587301587302,0,0.338235294117647,0.338235294117647,0.17910447761194,0.287671232876712,0.2,0.0845070422535211,0.0769230769230769,0.1,0.138888888888889,0.0588235294117647,0.0444444444444444,0.0652173913043478,0.0350877192982456,0.101694915254237
"879F",0.185714285714286,0.15,0.189189189189189,0.175,0.367647058823529,0.216867469879518,0.228571428571429,0.337837837837838,0.26984126984127,0.253333333333333,0.253731343283582,0.371428571428571,0.348484848484849,0.388059701492537,0.164383561643836,0.306666666666667,0.230769230769231,0.259259259259259,0.25,0.213333333333333,0.298507462686567,0.338235294117647,0,0.333333333333333,0.217391304347826,0.222222222222222,0.245614035087719,0.154929577464789,0.119402985074627,0.109375,0.242857142857143,0.0350877192982456,0.04,0.0384615384615385,0.103448275862069,0.186440677966102
"B587",0.202898550724638,0.194805194805195,0.294117647058824,0.287671232876712,0.476190476190476,0.383561643835616,0.178082191780822,0.32,0.212121212121212,0.220779220779221,0.3125,0.391304347826087,0.412698412698413,0.409090909090909,0.180555555555556,0.240506329113924,0.176470588235294,0.307692307692308,0.26984126984127,0.263888888888889,0.318181818181818,0.338235294117647,0.333333333333333,0,0.253731343283582,0.302631578947368,0.203389830508475,0.138888888888889,0.0869565217391304,0.126984126984127,0.208333333333333,0.0535714285714286,0.0612244897959184,0.0384615384615385,0.032258064516129,0.111111111111111
"7C6F",0.183333333333333,0.176470588235294,0.134328358208955,0.188405797101449,0.227272727272727,0.253521126760563,0.174603174603175,0.225352112676056,0.172413793103448,0.205882352941176,0.161290322580645,0.253731343283582,0.222222222222222,0.246153846153846,0.106060606060606,0.246376811594203,0.192982456140351,0.25,0.172413793103448,0.253968253968254,0.136363636363636,0.17910447761194,0.217391304347826,0.253731343283582,0,0.16,0.18,0.129032258064516,0.0677966101694915,0.0925925925925926,0.119402985074627,0,0,0,0.130434782608696,0.16
"3F49",0.323076923076923,0.357142857142857,0.22972972972973,0.293333333333333,0.263157894736842,0.368421052631579,0.253521126760563,0.228915662650602,0.317460317460317,0.366197183098592,0.338461538461538,0.207317073170732,0.194805194805195,0.371428571428571,0.396825396825397,0.2625,0.220588235294118,0.235294117647059,0.296875,0.323943661971831,0.153846153846154,0.287671232876712,0.222222222222222,0.302631578947368,0.16,0,0.174603174603175,0.164383561643836,0.2,0.213114754098361,0.111111111111111,0.0689655172413793,0.0377358490566038,0.0363636363636364,0.0983606557377049,0.0579710144927536
"E063",0.234042553191489,0.155172413793103,0.188679245283019,0.15,0.172413793103448,0.169230769230769,0.22,0.121212121212121,0.222222222222222,0.169491525423729,0.18,0.126984126984127,0.142857142857143,0.172413793103448,0.132075471698113,0.106060606060606,0.195652173913043,0.149253731343284,0.145833333333333,0.137931034482759,0.148148148148148,0.2,0.245614035087719,0.203389830508475,0.18,0.174603174603175,0,0.0555555555555556,0.0416666666666667,0.0454545454545455,0.087719298245614,0.0303030303030303,0,0,0.0540540540540541,0.0465116279069767
"29B2",0.0952380952380952,0.181818181818182,0.121212121212121,0.230769230769231,0.112676056338028,0.175675675675676,0.125,0.26865671641791,0.157894736842105,0.212121212121212,0.111111111111111,0.171428571428571,0.102941176470588,0.215384615384615,0.224137931034483,0.183098591549296,0.178571428571429,0.142857142857143,0.0476190476190476,0.149253731343284,0.258620689655172,0.0845070422535211,0.154929577464789,0.138888888888889,0.129032258064516,0.164383561643836,0.0555555555555556,0,0.270833333333333,0.14,0.17741935483871,0.0465116279069767,0.0555555555555556,0.0810810810810811,0.219512195121951,0.0769230769230769
"EC1A",0.087719298245614,0.224137931034483,0.0307692307692308,0.19672131147541,0.0588235294117647,0.176470588235294,0.140350877192982,0.238095238095238,0.134615384615385,0.17741935483871,0.0862068965517241,0.102941176470588,0.0303030303030303,0.142857142857143,0.142857142857143,0.262295081967213,0.229166666666667,0.191176470588235,0.0172413793103448,0.166666666666667,0.11864406779661,0.0769230769230769,0.119402985074627,0.0869565217391304,0.0677966101694915,0.2,0.0416666666666667,0.270833333333333,0,0.388888888888889,0.245283018867925,0.151515151515152,0.0689655172413793,0.1,0.433333333333333,0.13953488372093
"663E",0.0943396226415094,0.196428571428571,0.05,0.254545454545455,0.114754098360656,0.169230769230769,0.0701754385964912,0.174603174603175,0.145833333333333,0.169491525423729,0.0925925925925926,0.109375,0.0491803278688525,0.214285714285714,0.176470588235294,0.258620689655172,0.170212765957447,0.166666666666667,0.0576923076923077,0.0819672131147541,0.0689655172413793,0.1,0.109375,0.126984126984127,0.0925925925925926,0.213114754098361,0.0454545454545455,0.14,0.388888888888889,0,0.26530612244898,0.214285714285714,0.08,0.115384615384615,0.21875,0.0975609756097561
"6B55",0.0571428571428571,0.0921052631578947,0.0821917808219178,0.103896103896104,0.166666666666667,0.0952380952380952,0.0845070422535211,0.216216216216216,0.0597014925373134,0.103896103896104,0.0869565217391304,0.191780821917808,0.159420289855072,0.166666666666667,0.0704225352112676,0.271428571428571,0.126984126984127,0.256756756756757,0.0757575757575758,0.154929577464789,0.21875,0.138888888888889,0.242857142857143,0.208333333333333,0.119402985074627,0.111111111111111,0.087719298245614,0.17741935483871,0.245283018867925,0.26530612244898,0,0.136363636363636,0.048780487804878,0.0714285714285714,0.195652173913043,0.386363636363636
"9A91",0.0952380952380952,0.1,0.0625,0.0754716981132075,0.037037037037037,0.0491803278688525,0,0.0333333333333333,0.0238095238095238,0.0555555555555556,0.0444444444444444,0.0350877192982456,0.0196078431372549,0.037037037037037,0.0909090909090909,0.109090909090909,0.048780487804878,0.101694915254237,0.0238095238095238,0.0588235294117647,0,0.0588235294117647,0.0350877192982456,0.0535714285714286,0,0.0689655172413793,0.0303030303030303,0.0465116279069767,0.151515151515152,0.214285714285714,0.136363636363636,0,0.0714285714285714,0.214285714285714,0,0
"125F",0.0263157894736842,0,0.0476190476190476,0.0204081632653061,0.0208333333333333,0.0555555555555556,0,0.0576923076923077,0.0588235294117647,0.0416666666666667,0.0256410256410256,0.0196078431372549,0.0465116279069767,0.0208333333333333,0,0.0588235294117647,0.0285714285714286,0.0175438596491228,0,0.0217391304347826,0.0238095238095238,0.0444444444444444,0.04,0.0612244897959184,0,0.0377358490566038,0,0.0555555555555556,0.0689655172413793,0.08,0.048780487804878,0.0714285714285714,0,0.25,0,0
"F534",0.0789473684210526,0.0416666666666667,0.0697674418604651,0.0196078431372549,0.02,0.0350877192982456,0,0.0754716981132075,0.027027027027027,0.0612244897959184,0,0.0188679245283019,0.0444444444444444,0.0408163265306122,0,0.0769230769230769,0.027027027027027,0.0714285714285714,0,0.0425531914893617,0.0465116279069767,0.0652173913043478,0.0384615384615385,0.0384615384615385,0,0.0363636363636364,0,0.0810810810810811,0.1,0.115384615384615,0.0714285714285714,0.214285714285714,0.25,0,0,0
"256A",0.02,0.111111111111111,0,0.087719298245614,0.0517241379310345,0.078125,0.148936170212766,0.175438596491228,0.0909090909090909,0.087719298245614,0.0196078431372549,0.12280701754386,0.0363636363636364,0.0892857142857143,0.06,0.178571428571429,0.2,0.166666666666667,0.0434782608695652,0.0925925925925926,0.1,0.0350877192982456,0.103448275862069,0.032258064516129,0.130434782608696,0.0983606557377049,0.0540540540540541,0.219512195121951,0.433333333333333,0.21875,0.195652173913043,0,0,0,0,0.266666666666667
"2BFD",0.0178571428571429,0.0153846153846154,0.0163934426229508,0.0149253731343284,0.0983606557377049,0.0714285714285714,0.132075471698113,0.158730158730159,0.0384615384615385,0.0625,0.0357142857142857,0.206896551724138,0.166666666666667,0.116666666666667,0.0172413793103448,0.220338983050847,0.148936170212766,0.169230769230769,0.08,0.101694915254237,0.12962962962963,0.101694915254237,0.186440677966102,0.111111111111111,0.16,0.0579710144927536,0.0465116279069767,0.0769230769230769,0.13953488372093,0.0975609756097561,0.386363636363636,0,0,0,0.266666666666667,0
