"from","to","weight","pair_type"
"758","4ECA",0.445945945945946,"other"
"758","4C7B",0.619718309859155,"other"
"758","22B0",0.151515151515152,"other"
"758","E063",0.09375,"other"
"758","076C",0.418918918918919,"other"
"758","EC1A",0.531645569620253,"other"
"758","7C6F",0.408450704225352,"other"
"758","D629",0.30379746835443,"other"
"758","C5F2",0.545454545454545,"other"
"758","C950",0.308823529411765,"other"
"758","A539",0.328947368421053,"other"
"758","DCCF",0.551282051282051,"other"
"758","ACF4",0.275862068965517,"other"
"758","15BF",0.40506329113924,"other"
"758","AA3C",0.0147058823529412,"other"
"758","204F",0.0153846153846154,"other"
"758","9407",0.0153846153846154,"other"
"758","80F1",0.0153846153846154,"other"
"758","CB2B",0.0298507462686567,"other"
"758","898A",0.0153846153846154,"other"
"9FB7","1731",0.288135593220339,"other"
"9FB7","377E",0.414285714285714,"other"
"9FB7","B75C",0.309859154929577,"other"
"9FB7","879F",0.253333333333333,"other"
"9FB7","2C18",0.277777777777778,"other"
"9FB7","F44A",0.405405405405405,"other"
"9FB7","2F8D",0.441860465116279,"other"
"9FB7","44BD",0.493670886075949,"other"
"9FB7","F377",0.474358974358974,"other"
"9FB7","4FE4",0.358024691358025,"other"
"9FB7","0D1B",0.37037037037037,"other"
"9FB7","24E9",0.30379746835443,"other"
"9FB7","4ECA",0.294871794871795,"other"
"9FB7","4C7B",0.397435897435897,"other"
"9FB7","22B0",0.129032258064516,"other"
"9FB7","E063",0.12280701754386,"other"
"9FB7","076C",0.269230769230769,"other"
"9FB7","EC1A",0.474358974358974,"other"
"9FB7","7C6F",0.323943661971831,"other"
"9FB7","D629",0.328767123287671,"other"
"9FB7","C5F2",0.4125,"other"
"9FB7","C950",0.257575757575758,"other"
"9FB7","A539",0.507936507936508,"other"
"9FB7","DCCF",0.4375,"other"
"9FB7","ACF4",0.567164179104478,"other"
"9FB7","15BF",0.438356164383562,"other"
"9FB7","AA3C",0.0677966101694915,"other"
"9FB7","204F",0.0526315789473684,"other"
"9FB7","9407",0.0344827586206897,"other"
"9FB7","80F1",0.0344827586206897,"other"
"9FB7","CB2B",0.05,"other"
"9FB7","898A",0.0169491525423729,"other"
"9FB7","5939",0.0535714285714286,"other"
"1731","377E",0.140350877192982,"other"
"1731","B75C",0.0925925925925926,"other"
"1731","879F",0.132075471698113,"other"
"1731","2C18",0.0943396226415094,"other"
"1731","F44A",0.25,"other"
"1731","2F8D",0.125,"other"
"1731","44BD",0.135135135135135,"other"
"1731","F377",0.140845070422535,"other"
"1731","4FE4",0.117647058823529,"other"
"1731","0D1B",0.149253731343284,"other"
"1731","24E9",0.0952380952380952,"other"
"1731","4ECA",0.116666666666667,"other"
"1731","4C7B",0.153846153846154,"other"
"1731","22B0",0.161290322580645,"other"
"1731","E063",0.2,"other"
"1731","076C",0.0833333333333333,"other"
"1731","EC1A",0.173913043478261,"other"
"1731","7C6F",0.153846153846154,"other"
"1731","D629",0.166666666666667,"other"
"1731","C5F2",0.161764705882353,"other"
"1731","C950",0.0425531914893617,"other"
"1731","A539",0.22,"other"
"1731","DCCF",0.0945945945945946,"other"
"1731","ACF4",0.183333333333333,"other"
"1731","15BF",0.126984126984127,"other"
"377E","B75C",0.547169811320755,"other"
"377E","879F",0.383333333333333,"other"
"377E","2C18",0.396551724137931,"other"
"377E","F44A",0.207792207792208,"other"
"377E","2F8D",0.4125,"other"
"377E","44BD",0.465753424657534,"other"
"377E","F377",0.444444444444444,"other"
"377E","4FE4",0.414285714285714,"other"
"377E","0D1B",0.470588235294118,"other"
"377E","24E9",0.333333333333333,"other"
"377E","4ECA",0.428571428571429,"other"
"377E","4C7B",0.661016949152542,"other"
"377E","22B0",0.0727272727272727,"other"
"377E","E063",0.0816326530612245,"other"
"377E","076C",0.442622950819672,"other"
"377E","EC1A",0.405405405405405,"other"
"377E","7C6F",0.431034482758621,"other"
"377E","D629",0.303030303030303,"other"
"377E","C5F2",0.397260273972603,"other"
"377E","C950",0.333333333333333,"other"
"377E","A539",0.2,"other"
"377E","DCCF",0.405405405405405,"other"
"377E","ACF4",0.36231884057971,"other"
"377E","15BF",0.323943661971831,"other"
"377E","AA3C",0.04,"other"
"377E","204F",0.0208333333333333,"other"
"377E","9407",0.0425531914893617,"other"
"377E","80F1",0.0208333333333333,"other"
"377E","CB2B",0.0196078431372549,"other"
"377E","898A",0.0208333333333333,"other"
"377E","5939",0.0434782608695652,"mother-daughter"
"B75C","879F",0.452830188679245,"other"
"B75C","2C18",0.363636363636364,"other"
"B75C","F44A",0.298507462686567,"other"
"B75C","2F8D",0.38961038961039,"other"
"B75C","44BD",0.463768115942029,"other"
"B75C","F377",0.420289855072464,"other"
"B75C","4FE4",0.5,"other"
"B75C","0D1B",0.424242424242424,"other"
"B75C","24E9",0.365079365079365,"other"
"B75C","4ECA",0.4,"other"
"B75C","4C7B",0.642857142857143,"other"
"B75C","22B0",0.104166666666667,"other"
"B75C","E063",0.0444444444444444,"other"
"B75C","076C",0.413793103448276,"other"
"B75C","EC1A",0.420289855072464,"other"
"B75C","7C6F",0.4,"other"
"B75C","D629",0.25,"other"
"B75C","C5F2",0.454545454545455,"other"
"B75C","C950",0.404255319148936,"other"
"B75C","A539",0.238095238095238,"other"
"B75C","DCCF",0.441176470588235,"other"
"B75C","ACF4",0.294117647058824,"other"
"B75C","15BF",0.353846153846154,"other"
"879F","2C18",0.407407407407407,"other"
"879F","F44A",0.294117647058824,"other"
"879F","2F8D",0.384615384615385,"other"
"879F","44BD",0.397260273972603,"other"
"879F","F377",0.394366197183099,"other"
"879F","4FE4",0.424242424242424,"other"
"879F","0D1B",0.439393939393939,"other"
"879F","24E9",0.338461538461538,"other"
"879F","4ECA",0.545454545454545,"other"
"879F","4C7B",0.5,"other"
"879F","22B0",0.08,"other"
"879F","E063",0.0666666666666667,"other"
"879F","076C",0.456140350877193,"other"
"879F","EC1A",0.356164383561644,"other"
"879F","7C6F",0.368421052631579,"other"
"879F","D629",0.265625,"other"
"879F","C5F2",0.366197183098592,"other"
"879F","C950",0.395833333333333,"other"
"879F","A539",0.161764705882353,"other"
"879F","DCCF",0.394366197183099,"other"
"879F","ACF4",0.236111111111111,"other"
"879F","15BF",0.328358208955224,"other"
"879F","AA3C",0.0217391304347826,"other"
"879F","9407",0.0232558139534884,"other"
"879F","CB2B",0.0217391304347826,"other"
"879F","898A",0.0476190476190476,"other"
"879F","5939",0.0238095238095238,"other"
"2C18","F44A",0.283582089552239,"other"
"2C18","2F8D",0.432432432432432,"other"
"2C18","44BD",0.428571428571429,"other"
"2C18","F377",0.385714285714286,"other"
"2C18","4FE4",0.415384615384615,"other"
"2C18","0D1B",0.409090909090909,"other"
"2C18","24E9",0.287878787878788,"other"
"2C18","4ECA",0.383333333333333,"other"
"2C18","4C7B",0.378787878787879,"other"
"2C18","22B0",0.130434782608696,"other"
"2C18","E063",0.121951219512195,"other"
"2C18","076C",0.396551724137931,"other"
"2C18","EC1A",0.366197183098592,"other"
"2C18","7C6F",0.381818181818182,"other"
"2C18","D629",0.316666666666667,"other"
"2C18","C5F2",0.357142857142857,"other"
"2C18","C950",0.326530612244898,"other"
"2C18","A539",0.184615384615385,"other"
"2C18","DCCF",0.366197183098592,"other"
"2C18","ACF4",0.242857142857143,"other"
"2C18","15BF",0.359375,"other"
"2C18","AA3C",0.0227272727272727,"other"
"2C18","204F",0.024390243902439,"other"
"2C18","9407",0.024390243902439,"other"
"2C18","CB2B",0.0465116279069767,"other"
"2C18","898A",0.024390243902439,"other"
"2C18","5939",0.025,"other"
"F44A","2F8D",0.45679012345679,"other"
"F44A","44BD",0.454545454545455,"other"
"F44A","F377",0.313253012048193,"other"
"F44A","4FE4",0.424657534246575,"other"
"F44A","0D1B",0.418918918918919,"other"
"F44A","24E9",0.293333333333333,"other"
"F44A","4ECA",0.25,"other"
"F44A","4C7B",0.355263157894737,"other"
"F44A","22B0",0.230769230769231,"other"
"F44A","E063",0.115384615384615,"other"
