"","39ED","AC35","BF04","41C1","29B2","663E","D14D","758","9FB7","1731","377E","B75C","879F","2C18","F44A","2F8D","44BD","F377","4FE4","0D1B","24E9","4ECA","4C7B","22B0","E063","076C","EC1A","7C6F","D629","C5F2","C950","A539","DCCF","ACF4","15BF","AA3C","204F","9407","80F1","CB2B","898A","5939"
"377E",0.454545454545455,0.287878787878788,0.476923076923077,0.412698412698413,0.39344262295082,0.412698412698413,0.583333333333333,0.438356164383562,0.414285714285714,0.140350877192982,0,0.547169811320755,0.383333333333333,0.396551724137931,0.207792207792208,0.4125,0.465753424657534,0.444444444444444,0.414285714285714,0.470588235294118,0.333333333333333,0.428571428571429,0.661016949152542,0.0727272727272727,0.0816326530612245,0.442622950819672,0.405405405405405,0.431034482758621,0.303030303030303,0.397260273972603,0.333333333333333,0.2,0.405405405405405,0.36231884057971,0.323943661971831,0.04,0.0208333333333333,0.0425531914893617,0.0208333333333333,0.0196078431372549,0.0208333333333333,0.0434782608695652
"B75C",0.475409836065574,0.316666666666667,0.578947368421053,0.456140350877193,0.436363636363636,0.482142857142857,0.508474576271186,0.546875,0.309859154929577,0.0925925925925926,0.547169811320755,0,0.452830188679245,0.363636363636364,0.298507462686567,0.38961038961039,0.463768115942029,0.420289855072464,0.5,0.424242424242424,0.365079365079365,0.4,0.642857142857143,0.104166666666667,0.0444444444444444,0.413793103448276,0.420289855072464,0.4,0.25,0.454545454545455,0.404255319148936,0.238095238095238,0.441176470588235,0.294117647058824,0.353846153846154,0,0,0,0,0,0,0
"879F",0.444444444444444,0.311475409836066,0.467741935483871,0.4,0.428571428571429,0.377049180327869,0.475409836065574,0.428571428571429,0.253333333333333,0.132075471698113,0.383333333333333,0.452830188679245,0,0.407407407407407,0.294117647058824,0.384615384615385,0.397260273972603,0.394366197183099,0.424242424242424,0.439393939393939,0.338461538461538,0.545454545454545,0.5,0.08,0.0666666666666667,0.456140350877193,0.356164383561644,0.368421052631579,0.265625,0.366197183098592,0.395833333333333,0.161764705882353,0.394366197183099,0.236111111111111,0.328358208955224,0.0217391304347826,0,0.0232558139534884,0,0.0217391304347826,0.0476190476190476,0.0238095238095238
"2C18",0.369230769230769,0.322033898305085,0.435483870967742,0.344262295081967,0.444444444444444,0.366666666666667,0.375,0.420289855072464,0.277777777777778,0.0943396226415094,0.396551724137931,0.363636363636364,0.407407407407407,0,0.283582089552239,0.432432432432432,0.428571428571429,0.385714285714286,0.415384615384615,0.409090909090909,0.287878787878788,0.383333333333333,0.378787878787879,0.130434782608696,0.121951219512195,0.396551724137931,0.366197183098592,0.381818181818182,0.316666666666667,0.357142857142857,0.326530612244898,0.184615384615385,0.366197183098592,0.242857142857143,0.359375,0.0227272727272727,0.024390243902439,0.024390243902439,0,0.0465116279069767,0.024390243902439,0.025
"F44A",0.346666666666667,0.285714285714286,0.311688311688312,0.236842105263158,0.267605633802817,0.323943661971831,0.265822784810127,0.486486486486487,0.405405405405405,0.25,0.207792207792208,0.298507462686567,0.294117647058824,0.283582089552239,0,0.45679012345679,0.454545454545455,0.313253012048193,0.424657534246575,0.418918918918919,0.293333333333333,0.25,0.355263157894737,0.230769230769231,0.115384615384615,0.24,0.43421052631579,0.313432835820896,0.28169014084507,0.445945945945946,0.149253731343284,0.435483870967742,0.415584415584416,0.356164383561644,0.477611940298507,0,0,0,0,0.0178571428571429,0,0
"2F8D",0.406976744186047,0.375,0.44047619047619,0.390243902439024,0.428571428571429,0.461538461538462,0.428571428571429,0.566265060240964,0.441860465116279,0.125,0.4125,0.38961038961039,0.384615384615385,0.432432432432432,0.45679012345679,0,0.65,0.592592592592593,0.569620253164557,0.5625,0.444444444444444,0.4375,0.518518518518518,0.12,0.0833333333333333,0.486842105263158,0.535714285714286,0.367088607594937,0.337349397590361,0.567901234567901,0.328767123287671,0.3625,0.573170731707317,0.383720930232558,0.451219512195122,0.0694444444444444,0.0422535211267606,0.0422535211267606,0.0277777777777778,0.0405405405405405,0.0136986301369863,0.0428571428571429
"44BD",0.513157894736842,0.386666666666667,0.513157894736842,0.384615384615385,0.444444444444444,0.421052631578947,0.425,0.569620253164557,0.493670886075949,0.135135135135135,0.465753424657534,0.463768115942029,0.397260273972603,0.428571428571429,0.454545454545455,0.65,0,0.5375,0.532467532467532,0.545454545454545,0.460526315789474,0.43421052631579,0.581081081081081,0.130434782608696,0.0909090909090909,0.445945945945946,0.556962025316456,0.378378378378378,0.363636363636364,0.592105263157895,0.28169014084507,0.373333333333333,0.556962025316456,0.36144578313253,0.448717948717949,0.0441176470588235,0.0303030303030303,0.0461538461538462,0.0149253731343284,0.0142857142857143,0.0149253731343284,0.0307692307692308
"F377",0.473684210526316,0.383561643835616,0.473684210526316,0.363636363636364,0.442857142857143,0.381578947368421,0.441558441558442,0.457831325301205,0.474358974358974,0.140845070422535,0.444444444444444,0.420289855072464,0.394366197183099,0.385714285714286,0.313253012048193,0.592592592592593,0.5375,0,0.493506493506494,0.506493506493506,0.52112676056338,0.432432432432432,0.540540540540541,0.102941176470588,0.112903225806452,0.529411764705882,0.538461538461538,0.394366197183099,0.378378378378378,0.493670886075949,0.353846153846154,0.298701298701299,0.463414634146341,0.392405063291139,0.392405063291139,0.0793650793650794,0.0483870967741935,0.0483870967741935,0.0317460317460317,0.0461538461538462,0.015625,0.0491803278688525
"4FE4",0.507042253521127,0.352112676056338,0.465753424657534,0.408450704225352,0.454545454545455,0.515151515151515,0.413333333333333,0.546666666666667,0.358024691358025,0.117647058823529,0.414285714285714,0.5,0.424242424242424,0.415384615384615,0.424657534246575,0.569620253164557,0.532467532467532,0.493506493506494,0,0.460526315789474,0.337662337662338,0.364864864864865,0.535211267605634,0.129032258064516,0.0847457627118644,0.434782608695652,0.474358974358974,0.382352941176471,0.328767123287671,0.527027027027027,0.317460317460317,0.338028169014085,0.455696202531646,0.265060240963855,0.438356164383562,0.0327868852459016,0,0.0169491525423729,0,0.05,0.0169491525423729,0.0172413793103448
"0D1B",0.421052631578947,0.347222222222222,0.5,0.402777777777778,0.385714285714286,0.402777777777778,0.426666666666667,0.5,0.37037037037037,0.149253731343284,0.470588235294118,0.424242424242424,0.439393939393939,0.409090909090909,0.418918918918919,0.5625,0.545454545454545,0.506493506493506,0.460526315789474,0,0.386666666666667,0.5,0.61764705882353,0.109375,0.0483870967741935,0.428571428571429,0.589041095890411,0.376811594202899,0.361111111111111,0.5,0.292307692307692,0.297297297297297,0.487179487179487,0.432432432432432,0.492957746478873,0.0158730158730159,0.0166666666666667,0.0166666666666667,0,0.0158730158730159,0.0517241379310345,0.0169491525423729
