"","879F","0387","4ECA","39ED","AC35","BF04","4C7B","41C1","29B2","E063","076C","663E","F44A","A539","44BD","F377","D629","15BF","AA3C","80F1","CB2B","5939","9A21","0255","A5EF","B8A2","A24D","2D31","C809","3CC1","D4DC","418B","8787","AC37","F429","8BE4","4FE4","22B0","DCCF","C5F2","8106","0734","34C9","0145","9A80","A816","A42D","494F","8C52","8B80","922C","9907","B0F1","054D","B0C8","FB4B","0A62","EE51","0F3D","0636","F948","CC06"
"CB2B",0.25,0.170731707317073,0.168674698795181,0.215189873417722,0.24,0.197674418604651,0.318840579710145,0.148148148148148,0.2375,0.231884057971014,0.18,0.308823529411765,0.157303370786517,0.373333333333333,0.209876543209877,0.27027027027027,0.242857142857143,0.0985915492957746,0.347222222222222,0.164556962025316,0,0.253164556962025,0.0212765957446809,0.169811320754717,0.170731707317073,0.293333333333333,0.170454545454545,0.166666666666667,0.293333333333333,0.175,0.155844155844156,0.129032258064516,0.373333333333333,0.333333333333333,0.215909090909091,0.261904761904762,0.152173913043478,0.296703296703297,0.246376811594203,0.226666666666667,0.301587301587302,0.247058823529412,0.216867469879518,0.113636363636364,0.0842105263157895,0.278688524590164,0.214285714285714,0.0792079207920792,0.0606060606060606,0,0,0.0178571428571429,0,0,0,0,0,0,0,0,0,0
"5939",0.206896551724138,0.174418604651163,0.24390243902439,0.346666666666667,0.272727272727273,0.270588235294118,0.371428571428571,0.324324324324324,0.316455696202532,0.363636363636364,0.23,0.36231884057971,0.136842105263158,0.301204819277108,0.320512820512821,0.32,0.314285714285714,0.169014084507042,0.307692307692308,0.227848101265823,0.253164556962025,0,0.0192307692307692,0.175438596491228,0.278481012658228,0.416666666666667,0.285714285714286,0.0784313725490196,0.291139240506329,0.302631578947368,0.287671232876712,0.111111111111111,0.285714285714286,0.345238095238095,0.333333333333333,0.290697674418605,0.21978021978022,0.242424242424242,0.22972972972973,0.347222222222222,0.298507462686567,0.3875,0.177777777777778,0.131868131868132,0.161290322580645,0.257575757575758,0.232876712328767,0.151515151515152,0.0135135135135135,0,0.0153846153846154,0.0508474576271186,0,0,0.0178571428571429,0,0.0344827586206897,0.0384615384615385,0,0,0,0
"9A21",0.0188679245283019,0.0204081632653061,0,0,0.0217391304347826,0.0178571428571429,0.0227272727272727,0.0217391304347826,0.0192307692307692,0.0263157894736842,0.0140845070422535,0.0238095238095238,0.0178571428571429,0.0178571428571429,0.0196078431372549,0.0212765957446809,0.025,0.032258064516129,0.02,0.0222222222222222,0.0212765957446809,0.0192307692307692,0,0.0666666666666667,0.0204081632653061,0.02,0.0178571428571429,0.0172413793103448,0.02,0.0212765957446809,0.0238095238095238,0.0172413793103448,0.0178571428571429,0.0163934426229508,0.0166666666666667,0.0169491525423729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0255",0.0967741935483871,0.103448275862069,0.120689655172414,0.103448275862069,0.12962962962963,0.126984126984127,0.229166666666667,0.150943396226415,0.155172413793103,0.127659574468085,0.0886075949367089,0.1875,0.163934426229508,0.145161290322581,0.157894736842105,0.127272727272727,0.195652173913043,0.17948717948718,0.101694915254237,0.0909090909090909,0.169811320754717,0.175438596491228,0.0666666666666667,0,0.142857142857143,0.226415094339623,0.145161290322581,0.106060606060606,0.160714285714286,0.169811320754717,0.163265306122449,0.140625,0.145161290322581,0.134328358208955,0.171875,0.104477611940299,0.0882352941176471,0.146666666666667,0.173913043478261,0.132075471698113,0.219512195121951,0.104477611940299,0.078125,0.0645161290322581,0.0441176470588235,0.121951219512195,0.06,0.0405405405405405,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A5EF",0.159090909090909,0.225,0.222222222222222,0.209876543209877,0.20253164556962,0.265060240963855,0.273972602739726,0.319444444444444,0.246913580246914,0.191780821917808,0.2,0.181818181818182,0.235294117647059,0.25,0.123595505617978,0.2,0.171052631578947,0.212121212121212,0.178571428571429,0.220779220779221,0.170731707317073,0.278481012658228,0.0204081632653061,0.142857142857143,0,0.285714285714286,0.296296296296296,0.244186046511628,0.192771084337349,0.246753246753247,0.28169014084507,0.202247191011236,0.193181818181818,0.264367816091954,0.267441860465116,0.270588235294118,0.285714285714286,0.237113402061856,0.173333333333333,0.220779220779221,0.183098591549296,0.2,0.226190476190476,0.265822784810127,0.129032258064516,0.159420289855072,0.115384615384615,0.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B8A2",0.211764705882353,0.2375,0.219512195121951,0.222222222222222,0.263157894736842,0.247058823529412,0.492063492063492,0.28,0.378378378378378,0.23943661971831,0.247422680412371,0.393939393939394,0.308641975308642,0.325,0.364864864864865,0.25974025974026,0.267605633802817,0.227272727272727,0.31578947368421,0.25,0.293333333333333,0.416666666666667,0.02,0.226415094339623,0.285714285714286,0,0.292682926829268,0.227272727272727,0.388888888888889,0.243589743589744,0.226666666666667,0.213483146067416,0.341772151898734,0.290697674418605,0.341463414634146,0.415584415584416,0.224719101123595,0.247422680412371,0.253521126760563,0.283783783783784,0.370967741935484,0.313253012048193,0.195402298850575,0.147727272727273,0.164835164835165,0.246153846153846,0.142857142857143,0.12,0,0,0,0.0169491525423729,0,0,0,0,0,0,0,0,0,0
"A24D",0.267441860465116,0.25,0.164835164835165,0.141304347826087,0.24390243902439,0.204301075268817,0.298701298701299,0.5,0.270588235294118,0.220779220779221,0.282828282828283,0.240506329113924,0.244444444444444,0.244444444444444,0.354430379746835,0.337662337662338,0.156626506024096,0.225352112676056,0.261904761904762,0.174418604651163,0.170454545454545,0.285714285714286,0.0178571428571429,0.145161290322581,0.296296296296296,0.292682926829268,0,0.151515151515152,0.232558139534884,0.271604938271605,0.289473684210526,0.280898876404494,0.230769230769231,0.314606741573034,0.195876288659794,0.352941176470588,0.223404255319149,0.233009708737864,0.158536585365854,0.188235294117647,0.22972972972973,0.25,0.182795698924731,0.273809523809524,0.258426966292135,0.16,0.105882352941176,0.229166666666667,0.0394736842105263,0.0746268656716418,0.0769230769230769,0.0819672131147541,0,0,0.0166666666666667,0,0.0158730158730159,0.0175438596491228,0,0,0,0
"2D31",0.193548387096774,0.304878048780488,0.148936170212766,0.103092783505155,0.181818181818182,0.1875,0.24390243902439,0.195402298850575,0.170212765957447,0.2,0.264705882352941,0.123595505617978,0.407407407407407,0.212765957446809,0.147368421052632,0.153846153846154,0.126436781609195,0.271428571428571,0.2,0.0842105263157895,0.166666666666667,0.0784313725490196,0.0172413793103448,0.106060606060606,0.244186046511628,0.227272727272727,0.151515151515152,0,0.173913043478261,0.179775280898876,0.19047619047619,0.432098765432099,0.1875,0.19,0.134615384615385,0.193877551020408,0.206185567010309,0.228571428571429,0.154761904761905,0.0957446808510638,0.134146341463415,0.114285714285714,0.272727272727273,0.184782608695652,0.175257731958763,0.1125,0.116279069767442,0.224489795918367,0.0657894736842105,0.072463768115942,0.0909090909090909,0.0793650793650794,0,0,0.0161290322580645,0.0517241379310345,0.03125,0,0.0645161290322581,0.0833333333333333,0.0172413793103448,0
"C809",0.144444444444444,0.207317073170732,0.388888888888889,0.337837837837838,0.28,0.376623376623377,0.287671232876712,0.246753246753247,0.436619718309859,0.222222222222222,0.198019801980198,0.333333333333333,0.164835164835165,0.292682926829268,0.422535211267606,0.293333333333333,0.475409836065574,0.157142857142857,0.36986301369863,0.338028169014085,0.293333333333333,0.291139240506329,0.02,0.160714285714286,0.192771084337349,0.388888888888889,0.232558139534884,0.173913043478261,0,0.310810810810811,0.26027397260274,0.148936170212766,0.308641975308642,0.193548387096774,0.447368421052632,0.282352941176471,0.147368421052632,0.141509433962264,0.53448275862069,0.376811594202899,0.307692307692308,0.297619047619048,0.209302325581395,0.2625,0.139784946236559,0.246153846153846,0.222222222222222,0.166666666666667,0.0428571428571429,0.0153846153846154,0.0158730158730159,0.0169491525423729,0,0,0,0,0,0,0,0,0,0
"3CC1",0.176470588235294,0.28,0.310810810810811,0.28,0.223684210526316,0.337662337662338,0.263888888888889,0.309859154929577,0.414285714285714,0.349206349206349,0.18,0.328358208955224,0.170454545454545,0.170454545454545,0.272727272727273,0.27027027027027,0.403225806451613,0.3,0.243589743589744,0.226666666666667,0.175,0.302631578947368,0.0212765957446809,0.169811320754717,0.246753246753247,0.243589743589744,0.271604938271605,0.179775280898876,0.310810810810811,0,0.289855072463768,0.22093023255814,0.240963855421687,0.317073170731707,0.38961038961039,0.261904761904762,0.292682926829268,0.268817204301075,0.323076923076923,0.352941176470588,0.261538461538462,0.27710843373494,0.188235294117647,0.166666666666667,0.131868131868132,0.2,0.118421052631579,0.135416666666667,0.0606060606060606,0.0161290322580645,0.0166666666666667,0.0363636363636364,0,0,0,0,0,0,0,0,0,0
