"","39ED","B75C","29B2","663E","22B0","076C","D14D","F44A","15BF","80F1","41C1","CB2B","A5EF","A24D","F377","3CC1","24E9","4ECA","AC35","BF04","4C7B","E063","EC1A","7C6F","A539","44BD","DCCF","D629","C5F2","5939","255","387","418B","879F","AA3C","4FE4","B8A2","2D31","D4DC","8787","AC37","F429","C809","A42D","B3E9","145","734","34C9","494F","8106","8666","8BE4","9A80","A16E","A816","D849"
"4C7B",0.217391304347826,0.238636363636364,0.17948717948718,0.326732673267327,0.311926605504587,0.211864406779661,0.203389830508475,0.161290322580645,0.185840707964602,0.284403669724771,0.238938053097345,0.330275229357798,0.282051282051282,0.29,0.209090909090909,0.224299065420561,0.232758620689655,0.258620689655172,0.235849056603774,0.263157894736842,0,0.258064516129032,0.254385964912281,0.21,0.287037037037037,0.245614035087719,0.285714285714286,0.153846153846154,0.243243243243243,0.285714285714286,0.275229357798165,0.212121212121212,0.212389380530973,0.273504273504274,0.256880733944954,0.233333333333333,0.247619047619048,0.294736842105263,0.235294117647059,0.357142857142857,0.311926605504587,0.252252252252252,0.285714285714286,0.025974025974026,0.0526315789473684,0.0126582278481013,0.0379746835443038,0.0128205128205128,0.038961038961039,0.025,0.0133333333333333,0.038961038961039,0,0.0298507462686567,0.038961038961039,0.0142857142857143
"E063",0.336633663366337,0.238095238095238,0.343434343434343,0.433333333333333,0.422680412371134,0.339805825242718,0.234234234234234,0.418367346938776,0.482758620689655,0.35,0.436170212765957,0.333333333333333,0.380952380952381,0.252525252525253,0.422222222222222,0.465116279069767,0.5,0.46875,0.384615384615385,0.376237623762376,0.258064516129032,0,0.452631578947368,0.288888888888889,0.440860215053763,0.356435643564356,0.477272727272727,0.460674157303371,0.528735632183908,0.313131313131313,0.353535353535354,0.306818181818182,0.257142857142857,0.345794392523364,0.389473684210526,0.459183673469388,0.518072289156627,0.311111111111111,0.344444444444444,0.292929292929293,0.366336633663366,0.353535353535354,0.287128712871287,0.15625,0.209677419354839,0.136363636363636,0.132352941176471,0.104477611940299,0.119402985074627,0.115942028985507,0.145161290322581,0.209677419354839,0.109375,0.12280701754386,0.136363636363636,0.0819672131147541
"EC1A",0.463636363636364,0.3,0.445454545454545,0.435185185185185,0.426086956521739,0.451327433628319,0.304,0.473214285714286,0.448598130841121,0.319672131147541,0.412280701754386,0.349593495934959,0.390243902439024,0.351351351351351,0.439252336448598,0.490196078431373,0.532710280373832,0.439655172413793,0.407407407407407,0.460176991150442,0.254385964912281,0.452631578947368,0,0.352380952380952,0.428571428571429,0.495412844036697,0.457943925233645,0.514563106796116,0.558823529411765,0.380530973451327,0.367521367521368,0.27027027027027,0.284552845528455,0.382113821138211,0.436363636363636,0.432203389830508,0.475728155339806,0.309090909090909,0.289473684210526,0.241935483870968,0.355371900826446,0.34453781512605,0.368421052631579,0.123595505617978,0.147727272727273,0.134831460674157,0.10752688172043,0.136363636363636,0.122222222222222,0.0842105263157895,0.141176470588235,0.160919540229885,0.0898876404494382,0.0843373493975904,0.134831460674157,0.0697674418604651
"7C6F",0.336538461538462,0.384615384615385,0.304761904761905,0.33,0.279279279279279,0.352380952380952,0.293577981651376,0.375,0.278846153846154,0.299065420560748,0.336538461538462,0.384615384615385,0.295652173913043,0.254901960784314,0.306930693069307,0.34020618556701,0.378640776699029,0.318181818181818,0.354166666666667,0.401960784313726,0.21,0.288888888888889,0.352380952380952,0,0.289719626168224,0.317757009345794,0.288461538461538,0.353535353535354,0.356435643564356,0.300970873786408,0.314285714285714,0.337078651685393,0.271028037383178,0.345454545454545,0.271028037383178,0.278260869565217,0.262135922330097,0.28421052631579,0.225490196078431,0.189189189189189,0.302752293577982,0.314285714285714,0.288461538461538,0.012987012987013,0,0,0,0,0,0.0125,0.0135135135135135,0,0.0135135135135135,0,0,0
"A539",0.330508474576271,0.340425531914894,0.336206896551724,0.398148148148148,0.415929203539823,0.379310344827586,0.358974358974359,0.4,0.398148148148148,0.330508474576271,0.453703703703704,0.408695652173913,0.439655172413793,0.23728813559322,0.428571428571429,0.333333333333333,0.467889908256881,0.468468468468468,0.345454545454545,0.412280701754386,0.287037037037037,0.440860215053763,0.428571428571429,0.289719626168224,0,0.358974358974359,0.407407407407407,0.381818181818182,0.476190476190476,0.277310924369748,0.392857142857143,0.234234234234234,0.316239316239316,0.394957983193277,0.412844036697248,0.422413793103448,0.465346534653465,0.372549019607843,0.336448598130841,0.339285714285714,0.367521367521368,0.380530973451327,0.288135593220339,0.0909090909090909,0.127906976744186,0.102272727272727,0.125,0.129411764705882,0.102272727272727,0.125,0.120481927710843,0.141176470588235,0.0813953488372093,0.0886075949367089,0.102272727272727,0.1
"44BD",0.481481481481481,0.205607476635514,0.362068965517241,0.36283185840708,0.358333333333333,0.347107438016529,0.285714285714286,0.389830508474576,0.480769230769231,0.367521367521368,0.415929203539823,0.30952380952381,0.440677966101695,0.342342342342342,0.378378378378378,0.385321100917431,0.481818181818182,0.418803418803419,0.411214953271028,0.389830508474576,0.245614035087719,0.356435643564356,0.495412844036697,0.317757009345794,0.358974358974359,0,0.490384615384615,0.435185185185185,0.476635514018692,0.359649122807018,0.382608695652174,0.372549019607843,0.330508474576271,0.385245901639344,0.440366972477064,0.4,0.451923076923077,0.311926605504587,0.364485981308411,0.264462809917355,0.358333333333333,0.325,0.359649122807018,0.0879120879120879,0.111111111111111,0.0752688172043011,0.0967741935483871,0.0879120879120879,0.0869565217391304,0.0967741935483871,0.103448275862069,0.123595505617978,0.0549450549450549,0.072289156626506,0.111111111111111,0.0581395348837209
"DCCF",0.378378378378378,0.244897959183673,0.348214285714286,0.455445544554455,0.485714285714286,0.368421052631579,0.291666666666667,0.341880341880342,0.441176470588235,0.403669724770642,0.457142857142857,0.327731092436975,0.455357142857143,0.302752293577982,0.445544554455446,0.469387755102041,0.485714285714286,0.472222222222222,0.411764705882353,0.414414414414414,0.285714285714286,0.477272727272727,0.457943925233645,0.288461538461538,0.407407407407407,0.490384615384615,0,0.525773195876289,0.466019417475728,0.345454545454545,0.447619047619048,0.266666666666667,0.304347826086957,0.421052631578947,0.428571428571429,0.45045045045045,0.425742574257426,0.283018867924528,0.362745098039216,0.315315315315315,0.368421052631579,0.394495412844037,0.309734513274336,0.108433734939759,0.134146341463415,0.107142857142857,0.117647058823529,0.0952380952380952,0.107142857142857,0.117647058823529,0.126582278481013,0.134146341463415,0.072289156626506,0.0789473684210526,0.148148148148148,0.05
"D629",0.378378378378378,0.326086956521739,0.466019417475728,0.373831775700935,0.380530973451327,0.3,0.324786324786325,0.524271844660194,0.515463917525773,0.353982300884956,0.366071428571429,0.35042735042735,0.358333333333333,0.302752293577982,0.474747474747475,0.469387755102041,0.5,0.394736842105263,0.425742574257426,0.440366972477064,0.153846153846154,0.460674157303371,0.514563106796116,0.353535353535354,0.381818181818182,0.435185185185185,0.525773195876289,0,0.51,0.37037037037037,0.381818181818182,0.278846153846154,0.260504201680672,0.408695652173913,0.428571428571429,0.45045045045045,0.411764705882353,0.236363636363636,0.323809523809524,0.186991869918699,0.289256198347107,0.381818181818182,0.298245614035088,0.164556962025316,0.134146341463415,0.1625,0.104651162790698,0.108433734939759,0.107142857142857,0.117647058823529,0.1125,0.148148148148148,0.1125,0.0789473684210526,0.134146341463415,0.0632911392405063
"C5F2",0.356521739130435,0.329787234042553,0.452830188679245,0.442307692307692,0.358974358974359,0.472222222222222,0.305785123966942,0.467889908256881,0.485148514851485,0.333333333333333,0.457943925233645,0.376068376068376,0.469026548672566,0.294642857142857,0.392523364485981,0.5,0.5,0.514018691588785,0.373831775700935,0.428571428571429,0.243243243243243,0.528735632183908,0.558823529411765,0.356435643564356,0.476190476190476,0.476635514018692,0.466019417475728,0.51,0,0.348214285714286,0.383928571428571,0.346534653465347,0.275,0.460176991150442,0.514851485148515,0.464285714285714,0.5,0.230088495575221,0.352380952380952,0.231404958677686,0.407079646017699,0.409090909090909,0.324561403508772,0.17283950617284,0.185185185185185,0.170731707317073,0.126436781609195,0.144578313253012,0.116279069767442,0.113636363636364,0.135802469135802,0.2,0.121951219512195,0.103896103896104,0.156626506024096,0.0875
"5939",0.390909090909091,0.311827956989247,0.36036036036036,0.300884955752212,0.322033898305085,0.278688524590164,0.302521008403361,0.308333333333333,0.348623853211009,0.353982300884956,0.378378378378378,0.316666666666667,0.38135593220339,0.339622641509434,0.377358490566038,0.333333333333333,0.3,0.458715596330275,0.371428571428571,0.427272727272727,0.285714285714286,0.313131313131313,0.380530973451327,0.300970873786408,0.277310924369748,0.359649122807018,0.345454545454545,0.37037037037037,0.348214285714286,0,0.345132743362832,0.29126213592233,0.219512195121951,0.408695652173913,0.351351351351351,0.288,0.252173913043478,0.247706422018349,0.275229357798165,0.216666666666667,0.310924369747899,0.333333333333333,0.345454545454545,0.0574712643678161,0.0689655172413793,0.0568181818181818,0.043956043956044,0.0574712643678161,0.0568181818181818,0.0555555555555556,0.0595238095238095,0.0689655172413793,0.0348837209302326,0.0512820512820513,0.107142857142857,0.024390243902439
