"","6D0D","2C18","3F49","24E9","4FE4","07F9","377E","B75C","0D1B","1731","3D98","AA57","5108","41C1","B587","9E17","D726","AC35","BF04","5672","4C7B","4ECA","3CA1","52AD","39ED","22B0","29B2","5ACA","C950","E063","7C6F","076C","6BD8","879F"
"4C7B",0.478260869565217,0.386138613861386,0.44954128440367,0.320754716981132,0.454545454545455,0.48936170212766,0.440860215053763,0.475728155339806,0.350877192982456,0.451612903225806,0.303921568627451,0.388888888888889,0.396396396396396,0.529411764705882,0.5,0.420454545454545,0.388349514563107,0.39047619047619,0.490384615384615,0.444444444444444,0,0.405940594059406,0.3125,0.59375,0.452830188679245,0.157894736842105,0.25,0.236559139784946,0.32258064516129,0.239130434782609,0.28421052631579,0.296703296703297,0.224719101123595,0.16504854368932
"4ECA",0.421686746987952,0.355555555555556,0.346153846153846,0.370786516853933,0.434343434343434,0.297872340425532,0.380952380952381,0.353535353535354,0.402061855670103,0.258064516129032,0.337209302325581,0.434782608695652,0.292452830188679,0.393939393939394,0.448275862068966,0.407894736842105,0.344086021505376,0.361702127659574,0.412371134020619,0.408163265306122,0.405940594059406,0,0.270588235294118,0.421052631578947,0.346534653465347,0.17948717948718,0.25974025974026,0.2125,0.25,0.156626506024096,0.195402298850575,0.282051282051282,0.181818181818182,0.2
"3CA1",0.307692307692308,0.413333333333333,0.409090909090909,0.358974358974359,0.285714285714286,0.325,0.282051282051282,0.388235294117647,0.363636363636364,0.422535211267606,0.285714285714286,0.397590361445783,0.359550561797753,0.326086956521739,0.358024691358025,0.338235294117647,0.415584415584416,0.302325581395349,0.375,0.386363636363636,0.3125,0.270588235294118,0,0.322222222222222,0.318681318681319,0.134328358208955,0.140845070422535,0.125,0.0987654320987654,0.0810810810810811,0.113924050632911,0.12,0.119402985074627,0.102564102564103
"52AD",0.417582417582418,0.4,0.495049504950495,0.357142857142857,0.443396226415094,0.49438202247191,0.476744186046512,0.464646464646465,0.441176470588235,0.361702127659574,0.285714285714286,0.444444444444444,0.39622641509434,0.46078431372549,0.489130434782609,0.388235294117647,0.387755102040816,0.418367346938776,0.510204081632653,0.505050505050505,0.59375,0.421052631578947,0.322222222222222,0,0.441176470588235,0.271604938271605,0.2,0.317073170731707,0.288888888888889,0.258823529411765,0.292134831460674,0.337349397590361,0.2,0.241758241758242
"39ED",0.326530612244898,0.34,0.394495412844037,0.353535353535354,0.375,0.353535353535354,0.376344086021505,0.445544554455446,0.298245614035088,0.29,0.257425742574257,0.333333333333333,0.36697247706422,0.351351351351351,0.393939393939394,0.293478260869565,0.383838383838384,0.359223300970874,0.432692307692308,0.470588235294118,0.452830188679245,0.346534653465347,0.318681318681319,0.441176470588235,0,0.223529411764706,0.238636363636364,0.211111111111111,0.24468085106383,0.241379310344828,0.260869565217391,0.204301075268817,0.197674418604651,0.163265306122449
"22B0",0.116883116883117,0.216216216216216,0.173913043478261,0.139240506329114,0.208791208791209,0.2,0.217391304347826,0.186046511627907,0.223529411764706,0.103896103896104,0.0375,0.234567901234568,0.22093023255814,0.191011235955056,0.175,0.136363636363636,0.207792207792208,0.170731707317073,0.265060240963855,0.204545454545455,0.157894736842105,0.17948717948718,0.134328358208955,0.271604938271605,0.223529411764706,0,0.41304347826087,0.382978723404255,0.327272727272727,0.361702127659574,0.411764705882353,0.446808510638298,0.311111111111111,0.4
"29B2",0.166666666666667,0.144578313253012,0.164948453608247,0.104651162790698,0.223404255319149,0.20253164556962,0.219178082191781,0.175824175824176,0.135416666666667,0.125,0.0232558139534884,0.280487804878049,0.182795698924731,0.193548387096774,0.2375,0.194029850746269,0.195121951219512,0.134831460674157,0.222222222222222,0.180851063829787,0.25,0.25974025974026,0.140845070422535,0.2,0.238636363636364,0.41304347826087,0,0.346153846153846,0.56,0.4375,0.4,0.489795918367347,0.488372093023256,0.363636363636364
"5ACA",0.181818181818182,0.1875,0.202127659574468,0.158536585365854,0.185567010309278,0.25,0.236111111111111,0.188888888888889,0.224719101123595,0.153846153846154,0.0232558139534884,0.22093023255814,0.222222222222222,0.180851063829787,0.222222222222222,0.159420289855072,0.240506329113924,0.147727272727273,0.27906976744186,0.21978021978022,0.236559139784946,0.2125,0.125,0.317073170731707,0.211111111111111,0.382978723404255,0.346153846153846,0,0.344827586206897,0.38,0.375,0.351851851851852,0.391304347826087,0.415094339622642
"C950",0.164705882352941,0.197674418604651,0.222222222222222,0.131868131868132,0.242424242424242,0.2875,0.276315789473684,0.197916666666667,0.114285714285714,0.126436781609195,0.0105263157894737,0.269662921348315,0.134615384615385,0.202020202020202,0.304878048780488,0.157894736842105,0.177777777777778,0.172043010752688,0.229166666666667,0.166666666666667,0.32258064516129,0.25,0.0987654320987654,0.288888888888889,0.24468085106383,0.327272727272727,0.56,0.344827586206897,0,0.452830188679245,0.416666666666667,0.472727272727273,0.333333333333333,0.383333333333333
"E063",0.168831168831169,0.175,0.166666666666667,0.0930232558139535,0.1875,0.205128205128205,0.257142857142857,0.164835164835165,0.125,0.0853658536585366,0.0116279069767442,0.155555555555556,0.172043010752688,0.157894736842105,0.180722891566265,0.144927536231884,0.197530864197531,0.149425287356322,0.267441860465116,0.145833333333333,0.239130434782609,0.156626506024096,0.0810810810810811,0.258823529411765,0.241379310344828,0.361702127659574,0.4375,0.38,0.452830188679245,0,0.52,0.358490566037736,0.465116279069767,0.345454545454545
"7C6F",0.195121951219512,0.159090909090909,0.176470588235294,0.0967741935483871,0.196078431372549,0.291139240506329,0.263157894736842,0.175257731958763,0.137254901960784,0.114942528735632,0.021505376344086,0.204301075268817,0.206185567010309,0.191919191919192,0.177777777777778,0.144736842105263,0.166666666666667,0.148936170212766,0.36046511627907,0.18,0.28421052631579,0.195402298850575,0.113924050632911,0.292134831460674,0.260869565217391,0.411764705882353,0.4,0.375,0.416666666666667,0.52,0,0.403508771929825,0.448979591836735,0.344262295081967
"076C",0.236842105263158,0.225,0.247311827956989,0.152941176470588,0.282608695652174,0.306666666666667,0.295774647887324,0.195652173913043,0.166666666666667,0.107142857142857,0.0340909090909091,0.317073170731707,0.21505376344086,0.239130434782609,0.214285714285714,0.169014084507042,0.160919540229885,0.181818181818182,0.284090909090909,0.212765957446809,0.296703296703297,0.282051282051282,0.12,0.337349397590361,0.204301075268817,0.446808510638298,0.489795918367347,0.351851851851852,0.472727272727273,0.358490566037736,0.403508771929825,0,0.36734693877551,0.344827586206897
"6BD8",0.214285714285714,0.126582278481013,0.114583333333333,0.0987654320987654,0.172043010752688,0.186666666666667,0.220588235294118,0.147727272727273,0.144444444444444,0.105263157894737,0.0379746835443038,0.207317073170732,0.181818181818182,0.166666666666667,0.148148148148148,0.233333333333333,0.210526315789474,0.117647058823529,0.253012048192771,0.179775280898876,0.224719101123595,0.181818181818182,0.119402985074627,0.2,0.197674418604651,0.311111111111111,0.488372093023256,0.391304347826087,0.333333333333333,0.465116279069767,0.448979591836735,0.36734693877551,0,0.408163265306122
"879F",0.142857142857143,0.136363636363636,0.123809523809524,0.136363636363636,0.16504854368932,0.19047619047619,0.205128205128205,0.154639175257732,0.2,0.104651162790698,0.021978021978022,0.195652173913043,0.185567010309278,0.16,0.155555555555556,0.164383561643836,0.197674418604651,0.177777777777778,0.223404255319149,0.183673469387755,0.16504854368932,0.2,0.102564102564103,0.241758241758242,0.163265306122449,0.4,0.363636363636364,0.415094339622642,0.383333333333333,0.345454545454545,0.344262295081967,0.344827586206897,0.408163265306122,0
