"","2C18","1731","24E9","4ECA","39ED","B75C","AC35","BF04","4FE4","4C7B","41C1","22B0","29B2","C950","E063","076C","879F","EC1A","663E","D14D","7C6F","758","0D1B","377E","256A","F44A","A539","2F8D","44BD","DCCF","9FB7","F377","ACF4","DE72","D629","C5F2"
"7C6F",0.557142857142857,0.264705882352941,0.370786516853933,0.404761904761905,0.361702127659574,0.4125,0.373493975903614,0.433734939759036,0.708333333333333,0.5,0.379310344827586,0.541666666666667,0.375,0.423076923076923,0.460526315789474,0.448717948717949,0.4,0.465909090909091,0.458823529411765,0.36046511627907,0,0.422680412371134,0.542168674698795,0.597014925373134,0.314285714285714,0.205479452054795,0.116883116883117,0.223684210526316,0.173333333333333,0.1625,0.164383561643836,0.1375,0.1875,0.0428571428571429,0.131578947368421,0.166666666666667
"758",0.365591397849462,0.181818181818182,0.590909090909091,0.619047619047619,0.622222222222222,0.505747126436782,0.517241379310345,0.522222222222222,0.54945054945055,0.566666666666667,0.516483516483517,0.387096774193548,0.523809523809524,0.517647058823529,0.417582417582418,0.43956043956044,0.447058823529412,0.615384615384615,0.595505617977528,0.588235294117647,0.422680412371134,0,0.536842105263158,0.453488372093023,0.27906976744186,0.232558139534884,0.238095238095238,0.321428571428571,0.261904761904762,0.353658536585366,0.211764705882353,0.297619047619048,0.36144578313253,0.109756097560976,0.223529411764706,0.313253012048193
"0D1B",0.4625,0.253333333333333,0.477272727272727,0.448275862068966,0.545454545454545,0.457831325301205,0.452380952380952,0.494117647058824,0.597560975609756,0.488636363636364,0.505882352941176,0.469135802469136,0.35632183908046,0.383720930232558,0.4875,0.551282051282051,0.430379746835443,0.539325842696629,0.5,0.470588235294118,0.542168674698795,0.536842105263158,0,0.554054054054054,0.333333333333333,0.215189873417722,0.205128205128205,0.2625,0.215189873417722,0.278481012658228,0.223684210526316,0.222222222222222,0.211764705882353,0.0657894736842105,0.205128205128205,0.253164556962025
"377E",0.411764705882353,0.216666666666667,0.415584415584416,0.418918918918919,0.419753086419753,0.470588235294118,0.422535211267606,0.492957746478873,0.571428571428571,0.447368421052632,0.407894736842105,0.4,0.385714285714286,0.420289855072464,0.507692307692308,0.492537313432836,0.393939393939394,0.468354430379747,0.460526315789474,0.333333333333333,0.597014925373134,0.453488372093023,0.554054054054054,0,0.362068965517241,0.209677419354839,0.17741935483871,0.230769230769231,0.229508196721311,0.230769230769231,0.180327868852459,0.2,0.188405797101449,0.0909090909090909,0.216666666666667,0.181818181818182
"256A",0.285714285714286,0.288888888888889,0.36231884057971,0.285714285714286,0.36986301369863,0.370967741935484,0.283582089552239,0.378787878787879,0.338028169014085,0.357142857142857,0.373134328358209,0.276923076923077,0.242424242424242,0.317460317460317,0.360655737704918,0.307692307692308,0.262295081967213,0.364864864864865,0.352112676056338,0.289855072463768,0.314285714285714,0.27906976744186,0.333333333333333,0.362068965517241,0,0.0344827586206897,0.0545454545454545,0.0655737704918033,0.0714285714285714,0.0483870967741935,0.0754716981132075,0.0677966101694915,0.0634920634920635,0.0975609756097561,0.0545454545454545,0.05
"F44A",0.184615384615385,0,0.111111111111111,0.162162162162162,0.142857142857143,0.10958904109589,0.223880597014925,0.175675675675676,0.197368421052632,0.151898734177215,0.1,0.161764705882353,0.147058823529412,0.17910447761194,0.161764705882353,0.157142857142857,0.140625,0.25974025974026,0.135802469135802,0.197183098591549,0.205479452054795,0.232558139534884,0.215189873417722,0.209677419354839,0.0344827586206897,0,0.45945945945946,0.48780487804878,0.513513513513513,0.452380952380952,0.432432432432432,0.475,0.536585365853659,0.171428571428571,0.542857142857143,0.475
"A539",0.153846153846154,0,0.142857142857143,0.166666666666667,0.220779220779221,0.196969696969697,0.142857142857143,0.180555555555556,0.141025641025641,0.202702702702703,0.146666666666667,0.115942028985507,0.134328358208955,0.184615384615385,0.203125,0.196969696969697,0.145161290322581,0.301369863013699,0.25,0.238805970149254,0.116883116883117,0.238095238095238,0.205128205128205,0.17741935483871,0.0545454545454545,0.45945945945946,0,0.594594594594595,0.6875,0.475,0.645161290322581,0.78125,0.605263157894737,0.258064516129032,0.575757575757576,0.461538461538462
"2F8D",0.205882352941176,0,0.1875,0.246575342465753,0.231707317073171,0.211267605633803,0.208333333333333,0.210526315789474,0.215189873417722,0.230769230769231,0.134146341463415,0.150684931506849,0.202898550724638,0.235294117647059,0.183098591549296,0.228571428571429,0.164179104477612,0.36,0.243589743589744,0.285714285714286,0.223684210526316,0.321428571428571,0.2625,0.230769230769231,0.0655737704918033,0.48780487804878,0.594594594594595,0,0.525,0.609756097560976,0.526315789473684,0.68421052631579,0.581395348837209,0.210526315789474,0.404761904761905,0.6
"44BD",0.203125,0,0.168831168831169,0.194444444444444,0.215189873417722,0.191176470588235,0.205882352941176,0.175675675675676,0.181818181818182,0.197368421052632,0.173333333333333,0.144927536231884,0.2,0.17910447761194,0.17910447761194,0.157142857142857,0.158730158730159,0.25974025974026,0.194805194805195,0.25,0.173333333333333,0.261904761904762,0.215189873417722,0.229508196721311,0.0714285714285714,0.513513513513513,0.6875,0.525,0,0.525,0.766666666666667,0.594594594594595,0.615384615384615,0.242424242424242,0.636363636363636,0.512820512820513
"DCCF",0.171428571428571,0,0.158536585365854,0.3,0.246913580246914,0.194444444444444,0.242857142857143,0.210526315789474,0.185185185185185,0.2,0.134146341463415,0.135135135135135,0.257575757575758,0.217391304347826,0.166666666666667,0.146666666666667,0.147058823529412,0.324675324675325,0.227848101265823,0.363636363636364,0.1625,0.353658536585366,0.278481012658228,0.230769230769231,0.0483870967741935,0.452380952380952,0.475,0.609756097560976,0.525,0,0.526315789473684,0.560975609756098,0.619047619047619,0.17948717948718,0.552631578947368,0.72972972972973
"9FB7",0.193548387096774,0,0.144736842105263,0.185714285714286,0.192307692307692,0.181818181818182,0.17910447761194,0.150684931506849,0.173333333333333,0.189189189189189,0.180555555555556,0.151515151515152,0.171875,0.1875,0.206349206349206,0.164179104477612,0.186440677966102,0.253333333333333,0.171052631578947,0.242424242424242,0.164383561643836,0.211764705882353,0.223684210526316,0.180327868852459,0.0754716981132075,0.432432432432432,0.645161290322581,0.526315789473684,0.766666666666667,0.526315789473684,0,0.6,0.538461538461538,0.266666666666667,0.545454545454545,0.473684210526316
"F377",0.176470588235294,0,0.192307692307692,0.202702702702703,0.2375,0.217391304347826,0.180555555555556,0.2,0.189873417721519,0.236842105263158,0.151898734177215,0.108108108108108,0.191176470588235,0.205882352941176,0.205882352941176,0.2,0.134328358208955,0.333333333333333,0.266666666666667,0.313432835820896,0.1375,0.297619047619048,0.222222222222222,0.2,0.0677966101694915,0.475,0.78125,0.68421052631579,0.594594594594595,0.560975609756098,0.6,0,0.692307692307692,0.257142857142857,0.5,0.51219512195122
"ACF4",0.217391304347826,0,0.154761904761905,0.223684210526316,0.226190476190476,0.205479452054795,0.202702702702703,0.189873417721519,0.195121951219512,0.256410256410256,0.144578313253012,0.116883116883117,0.214285714285714,0.194444444444444,0.178082191780822,0.157894736842105,0.126760563380282,0.333333333333333,0.285714285714286,0.314285714285714,0.1875,0.36144578313253,0.211764705882353,0.188405797101449,0.0634920634920635,0.536585365853659,0.605263157894737,0.581395348837209,0.615384615384615,0.619047619047619,0.538461538461538,0.692307692307692,0,0.297297297297297,0.525,0.609756097560976
"DE72",0.0689655172413793,0,0.0869565217391304,0.0923076923076923,0.0945945945945946,0.157894736842105,0.046875,0.107692307692308,0.0555555555555556,0.117647058823529,0.106060606060606,0.032258064516129,0.05,0.103448275862069,0.163636363636364,0.0819672131147541,0.0545454545454545,0.123287671232877,0.132352941176471,0.0769230769230769,0.0428571428571429,0.109756097560976,0.0657894736842105,0.0909090909090909,0.0975609756097561,0.171428571428571,0.258064516129032,0.210526315789474,0.242424242424242,0.17948717948718,0.266666666666667,0.257142857142857,0.297297297297297,0,0.3,0.257142857142857
"D629",0.153846153846154,0,0.142857142857143,0.183098591549296,0.175,0.17910447761194,0.176470588235294,0.180555555555556,0.155844155844156,0.186666666666667,0.178082191780822,0.132352941176471,0.151515151515152,0.222222222222222,0.166666666666667,0.128571428571429,0.126984126984127,0.25,0.184210526315789,0.238805970149254,0.131578947368421,0.223529411764706,0.205128205128205,0.216666666666667,0.0545454545454545,0.542857142857143,0.575757575757576,0.404761904761905,0.636363636363636,0.552631578947368,0.545454545454545,0.5,0.525,0.3,0,0.540540540540541
"C5F2",0.176470588235294,0,0.148148148148148,0.271428571428571,0.222222222222222,0.2,0.214285714285714,0.2,0.205128205128205,0.205128205128205,0.123456790123457,0.138888888888889,0.208955223880597,0.261538461538462,0.188405797101449,0.166666666666667,0.151515151515152,0.31578947368421,0.217948717948718,0.294117647058824,0.166666666666667,0.313253012048193,0.253164556962025,0.181818181818182,0.05,0.475,0.461538461538462,0.6,0.512820512820513,0.72972972972973,0.473684210526316,0.51219512195122,0.609756097560976,0.257142857142857,0.540540540540541,0
